onset	duration	trial_type	response_value	stim_file
2.767	116.284	video	n/a	task-alignvideo/ses-02_run-03_order-01_content-unefille.mp4
123.587	n/a	rating_relevance	n/a	n/a
128.622	n/a	rating_happy	n/a	n/a
133.64	n/a	rating_sad	n/a	n/a
138.659	n/a	rating_afraid	n/a	n/a
143.694	n/a	rating_disgusted	n/a	n/a
148.729	n/a	rating_warm	n/a	n/a
153.765	n/a	rating_engaged	n/a	n/a
154.287	179.195	video	n/a	task-alignvideo/ses-02_run-03_order-02_content-captureflag.mp4
336.7	3.166	rating_relevance	7.81	n/a
341.618	3.067	rating_happy	6.56	n/a
346.153	2.584	rating_sad	5.42	n/a
352.823	4.234	rating_afraid	19.9	n/a
358.108	4.506	rating_disgusted	2.81	n/a
361.342	2.716	rating_warm	3.02	n/a
367.478	3.832	rating_engaged	15.31	n/a
368.668	26.813	video	n/a	task-alignvideo/ses-02_run-03_order-03_content-tornado.mp4
399.557	4.051	rating_relevance	11.04	n/a
404.125	3.599	rating_happy	0.0	n/a
408.61	3.065	rating_sad	26.15	n/a
412.995	2.432	rating_afraid	15.42	n/a
418.814	3.233	rating_disgusted	0.94	n/a
425.116	n/a	rating_warm	n/a	n/a
430.152	n/a	rating_engaged	n/a	n/a
430.673	62.791	video	n/a	task-alignvideo/ses-02_run-03_order-04_content-war.mp4
496.727	3.231	rating_relevance	10.73	n/a
501.795	3.282	rating_happy	0.0	n/a
508.047	n/a	rating_sad	n/a	n/a
513.083	n/a	rating_afraid	n/a	n/a
516.384	2.784	rating_disgusted	6.77	n/a
523.136	n/a	rating_warm	n/a	n/a
527.822	4.167	rating_engaged	21.35	n/a
