onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file	trial_index
0.085	2.034	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.029	0.636	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	1
5.979	0.785	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_438.jpg	2
7.079	0.602	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	3
7.996	0.668	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	4
8.98	0.553	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg	5
9.847	0.568	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg	6
10.731	0.601	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	7
11.648	0.535	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg	8
18.975	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	9
23.986	0.751	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	9
25.053	0.551	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_007.jpg	10
25.92	0.677	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	11
26.904	0.644	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_019.jpg	12
27.854	0.668	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_167.jpg	13
28.838	0.61	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_130.jpg	14
29.755	0.609	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_627.jpg	15
30.672	0.584	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	16
41.45	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	17
46.461	0.501	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	17
47.278	0.568	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	18
48.162	0.553	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg	19
49.028	0.552	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	20
49.895	0.485	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	21
50.696	0.635	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	22
51.646	0.551	tomspunt	proud?	why_face	yes	no	incorrect	task-tomspunt/F_760.jpg	23
52.513	0.635	tomspunt	proud?	why_face	yes	no	incorrect	task-tomspunt/F_776.jpg	24
59.34	2.084	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	25
64.351	0.451	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	25
65.118	0.535	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	26
65.968	0.418	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	27
66.702	0.462	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	28
67.469	0.451	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	29
68.236	0.368	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	30
68.919	0.435	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	31
69.67	0.501	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	32
78.447	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a	33
83.458	0.706	tomspunt	both hands?	how_hand	no	yes	incorrect	task-tomspunt/H_167.jpg	33
84.475	0.635	tomspunt	both hands?	how_hand	yes	no	incorrect	task-tomspunt/H_159.jpg	34
85.425	0.722	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg	35
86.459	0.655	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg	36
87.426	0.771	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg	37
88.51	0.637	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg	38
89.46	0.818	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg	39
90.594	0.603	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg	40
95.954	2.101	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a	41
100.965	0.818	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg	41
102.098	0.851	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg	42
103.266	0.601	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg	43
104.183	0.651	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg	44
105.15	0.902	tomspunt	helping?	why_hand	yes	no	incorrect	task-tomspunt/H_012.jpg	45
106.367	0.801	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg	46
107.484	0.635	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg	47
108.434	0.685	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	48
115.011	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a	49
120.022	0.576	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg	49
120.905	0.718	tomspunt	self-doubt?	why_face	yes	no	incorrect	task-tomspunt/F_128.jpg	50
121.939	0.651	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg	51
122.906	0.708	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg	52
123.923	0.558	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg	53
124.79	0.641	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_584.jpg	54
125.741	0.635	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg	55
126.691	0.818	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg	56
