onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file_TODO
4.822	22.445	narrative_presentation	n/a	n/a	Conflict with a god	swamp	Text	task-narratives/Narrative4Situation1.txt
27.267	3.733	rating_feeling	859	371	Conflict with a god	swamp	Text	n/a
28.767	2.233	feeling_mouse_trajectory	859	371	Conflict with a god	swamp	Text	n/a
31.325	3.467	rating_expectation	979	348	Conflict with a god	swamp	Text	n/a
31.425	3.367	expectation_mouse_trajectory	979	348	Conflict with a god	swamp	Text	n/a
40.402	24.795	narrative_presentation	n/a	n/a	Adultery	swamp	Text	task-narratives/Narrative4Situation2.txt
65.197	2.883	rating_feeling	778	510	Adultery	swamp	Text	n/a
66.497	1.583	feeling_mouse_trajectory	778	510	Adultery	swamp	Text	n/a
69.215	3.7	rating_expectation	708	462	Adultery	swamp	Text	n/a
69.265	3.65	expectation_mouse_trajectory	708	462	Adultery	swamp	Text	n/a
75.299	21.111	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	swamp	Text	task-narratives/Narrative4Situation3.txt
96.41	3.867	rating_feeling	707	470	Slaying of kin unrecognized	swamp	Text	n/a
97.877	2.4	feeling_mouse_trajectory	707	470	Slaying of kin unrecognized	swamp	Text	n/a
100.426	2.183	rating_expectation	683	434	Slaying of kin unrecognized	swamp	Text	n/a
100.526	2.083	expectation_mouse_trajectory	683	434	Slaying of kin unrecognized	swamp	Text	n/a
105.51	21.111	narrative_presentation	n/a	n/a	Fatal imprudence	hospital	Text	task-narratives/Narrative4Situation4.txt
126.621	3.9	rating_feeling	673	424	Fatal imprudence	hospital	Text	n/a
127.604	2.917	feeling_mouse_trajectory	673	424	Fatal imprudence	hospital	Text	n/a
130.642	1.817	rating_expectation	689	448	Fatal imprudence	hospital	Text	n/a
131.742	0.717	expectation_mouse_trajectory	689	448	Fatal imprudence	hospital	Text	n/a
135.738	25.798	narrative_presentation	n/a	n/a	Erroneous judgement	hospital	Text	task-narratives/Narrative4Situation5.txt
161.537	3.483	rating_feeling	980	419	Erroneous judgement	hospital	Text	n/a
162.637	2.383	feeling_mouse_trajectory	980	419	Erroneous judgement	hospital	Text	n/a
