onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.795	3.16	cue	n/a	n/a	likeability	n/a	n/a
5.955	5.51	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
11.548	2.618	rating	59.71	Strong	likeability	n/a	n/a
12.348	1.818	rating_mouse_trajectory	59.71	Strong	likeability	n/a	n/a
16.664	6.355	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
23.086	1.652	rating	24.14	Moderate	likeability	n/a	n/a
23.652	1.085	rating_mouse_trajectory	24.14	Moderate	likeability	n/a	n/a
28.201	4.072	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
32.339	2.134	rating	14.93	Moderate	likeability	n/a	n/a
32.856	1.618	rating_mouse_trajectory	14.93	Moderate	likeability	n/a	n/a
37.374	3.11	cue	n/a	n/a	mentalizing	remember	n/a
40.484	5.227	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
45.777	4.852	rating	1.39	Barely detectable	mentalizing	remember	n/a
46.977	3.652	rating_mouse_trajectory	1.39	Barely detectable	mentalizing	remember	n/a
51.223	5.509	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
56.815	2.156	rating	157.02	Strongest possible	mentalizing	remember	n/a
57.531	1.439	rating_mouse_trajectory	157.02	Strongest possible	mentalizing	remember	n/a
61.922	5.565	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
67.552	4.169	rating	51.1	Strong	mentalizing	remember	n/a
68.569	3.152	rating_mouse_trajectory	51.1	Strong	mentalizing	remember	n/a
72.571	3.149	cue	n/a	n/a	similarity	n/a	n/a
75.719	5.171	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
80.957	1.701	rating	5.98	Weak	similarity	n/a	n/a
81.374	1.284	rating_mouse_trajectory	5.98	Weak	similarity	n/a	n/a
86.069	6.351	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
92.478	1.576	rating	5.78	Weak	similarity	n/a	n/a
92.895	1.159	rating_mouse_trajectory	5.78	Weak	similarity	n/a	n/a
97.581	5.84	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
103.482	1.755	rating	1.39	Barely detectable	similarity	n/a	n/a
104.099	1.138	rating_mouse_trajectory	1.39	Barely detectable	similarity	n/a	n/a
108.501	3.163	cue	n/a	n/a	mentalizing	danger	n/a
111.664	6.341	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
118.071	4.772	rating	65.84	Very strong	mentalizing	danger	n/a
119.521	3.322	rating_mouse_trajectory	65.84	Very strong	mentalizing	danger	n/a
123.498	5.127	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
128.692	1.684	rating	141.1	Strongest possible	mentalizing	danger	n/a
129.208	1.168	rating_mouse_trajectory	141.1	Strongest possible	mentalizing	danger	n/a
133.777	5.302	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
139.145	0.967	rating	0.23	Barely detectable	mentalizing	danger	n/a
139.395	0.717	rating_mouse_trajectory	0.23	Barely detectable	mentalizing	danger	n/a
144.181	3.161	cue	n/a	n/a	similarity	n/a	n/a
147.341	4.079	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
151.483	2.554	rating	5.32	Weak	similarity	n/a	n/a
151.833	2.204	rating_mouse_trajectory	5.32	Weak	similarity	n/a	n/a
156.597	5.557	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
162.221	1.717	rating	3.23	Weak	similarity	n/a	n/a
162.704	1.234	rating_mouse_trajectory	3.23	Weak	similarity	n/a	n/a
167.336	5.322	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
172.725	2.134	rating	14.37	Moderate	similarity	n/a	n/a
173.608	1.251	rating_mouse_trajectory	14.37	Moderate	similarity	n/a	n/a
177.743	3.152	cue	n/a	n/a	mentalizing	tired	n/a
180.895	5.569	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
186.53	4.074	rating	16.74	Moderate	mentalizing	tired	n/a
187.83	2.774	rating_mouse_trajectory	16.74	Moderate	mentalizing	tired	n/a
191.629	5.005	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
196.7	1.854	rating	0.71	Barely detectable	mentalizing	tired	n/a
197.534	1.02	rating_mouse_trajectory	0.71	Barely detectable	mentalizing	tired	n/a
201.783	6.188	video	n/a	n/a	mentalizing	tired	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
208.038	2.118	rating	0.46	Barely detectable	mentalizing	tired	n/a
209.038	1.118	rating_mouse_trajectory	0.46	Barely detectable	mentalizing	tired	n/a
213.056	3.147	cue	n/a	n/a	similarity	n/a	n/a
216.203	5.023	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
221.293	1.868	rating	1.39	Barely detectable	similarity	n/a	n/a
222.043	1.118	rating_mouse_trajectory	1.39	Barely detectable	similarity	n/a	n/a
226.395	6.125	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
232.58	2.44	rating	49.3	Strong	similarity	n/a	n/a
233.13	1.89	rating_mouse_trajectory	49.3	Strong	similarity	n/a	n/a
237.656	5.498	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
243.218	2.236	rating	61.11	Strong	similarity	n/a	n/a
243.968	1.486	rating_mouse_trajectory	61.11	Strong	similarity	n/a	n/a
248.236	3.141	cue	n/a	n/a	likeability	n/a	n/a
251.378	5.843	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
257.29	3.585	rating	6.42	Weak	likeability	n/a	n/a
257.706	3.168	rating_mouse_trajectory	6.42	Weak	likeability	n/a	n/a
262.387	6.123	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
268.577	1.884	rating	121.83	Strongest possible	likeability	n/a	n/a
269.26	1.201	rating_mouse_trajectory	121.83	Strongest possible	likeability	n/a	n/a
273.687	5.178	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
278.931	1.773	rating	11.81	Moderate	likeability	n/a	n/a
279.314	1.39	rating_mouse_trajectory	11.81	Moderate	likeability	n/a	n/a
283.949	3.143	cue	n/a	n/a	mentalizing	heights	n/a
287.092	5.178	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
292.336	3.718	rating	3.91	Weak	mentalizing	heights	n/a
293.386	2.668	rating_mouse_trajectory	3.91	Weak	mentalizing	heights	n/a
297.433	5.84	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-03_content-bestfriendsweating.mp4
303.323	2.168	rating	109.54	Strongest possible	mentalizing	heights	n/a
303.907	1.584	rating_mouse_trajectory	109.54	Strongest possible	mentalizing	heights	n/a
308.436	5.018	video	n/a	n/a	mentalizing	heights	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
313.51	1.293	rating	0.0	No sensation	mentalizing	heights	n/a
313.994	0.81	rating_mouse_trajectory	0.0	No sensation	mentalizing	heights	n/a
318.529	3.157	cue	n/a	n/a	likeability	n/a	n/a
321.686	5.33	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
327.082	2.522	rating	29.89	Strong	likeability	n/a	n/a
327.666	1.938	rating_mouse_trajectory	29.89	Strong	likeability	n/a	n/a
332.173	5.015	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
337.253	3.335	rating	29.17	Strong	likeability	n/a	n/a
337.803	2.785	rating_mouse_trajectory	29.17	Strong	likeability	n/a	n/a
342.33	5.393	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
347.79	2.935	rating	12.03	Moderate	likeability	n/a	n/a
348.507	2.218	rating_mouse_trajectory	12.03	Moderate	likeability	n/a	n/a
352.808	3.147	cue	n/a	n/a	similarity	n/a	n/a
355.955	5.007	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
361.028	2.685	rating	12.94	Moderate	similarity	n/a	n/a
361.962	1.751	rating_mouse_trajectory	12.94	Moderate	similarity	n/a	n/a
366.103	5.218	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
371.382	2.555	rating	2.1	Barely detectable	similarity	n/a	n/a
371.899	2.038	rating_mouse_trajectory	2.1	Barely detectable	similarity	n/a	n/a
376.492	5.045	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
381.603	2.551	rating	0.0	No sensation	similarity	n/a	n/a
381.986	2.168	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
386.638	3.19	cue	n/a	n/a	mentalizing	angry	n/a
389.828	6.664	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
396.558	3.168	rating	136.15	Strongest possible	mentalizing	angry	n/a
397.825	1.902	rating_mouse_trajectory	136.15	Strongest possible	mentalizing	angry	n/a
401.671	5.167	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-13_content-wanderers.mp4
406.895	1.925	rating	3.45	Weak	mentalizing	angry	n/a
407.195	1.625	rating_mouse_trajectory	3.45	Weak	mentalizing	angry	n/a
412.0	4.082	video	n/a	n/a	mentalizing	angry	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
416.149	2.055	rating	2.77	Barely detectable	mentalizing	angry	n/a
416.515	1.688	rating_mouse_trajectory	2.77	Barely detectable	mentalizing	angry	n/a
421.184	3.143	cue	n/a	n/a	likeability	n/a	n/a
424.327	5.043	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
429.437	1.051	rating	0.0	No sensation	likeability	n/a	n/a
429.687	0.801	rating_mouse_trajectory	0.0	No sensation	likeability	n/a	n/a
434.553	5.021	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
439.641	2.168	rating	10.14	Moderate	likeability	n/a	n/a
440.324	1.484	rating_mouse_trajectory	10.14	Moderate	likeability	n/a	n/a
444.742	5.553	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
450.362	2.118	rating	11.13	Moderate	likeability	n/a	n/a
450.878	1.601	rating_mouse_trajectory	11.13	Moderate	likeability	n/a	n/a
455.397	3.191	cue	n/a	n/a	similarity	n/a	n/a
458.588	6.682	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
465.334	1.37	rating	0.0	No sensation	similarity	n/a	n/a
465.85	0.853	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
470.442	6.846	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
477.355	2.051	rating	124.97	Strongest possible	similarity	n/a	n/a
477.738	1.668	rating_mouse_trajectory	124.97	Strongest possible	similarity	n/a	n/a
482.497	5.123	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
487.692	1.668	rating	0.0	No sensation	similarity	n/a	n/a
488.225	1.134	rating_mouse_trajectory	0.0	No sensation	similarity	n/a	n/a
492.711	3.137	cue	n/a	n/a	mentalizing	calm	n/a
495.848	6.84	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
502.748	3.339	rating	155.62	Strongest possible	mentalizing	calm	n/a
503.614	2.473	rating_mouse_trajectory	155.62	Strongest possible	mentalizing	calm	n/a
507.857	5.048	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
512.968	2.336	rating	17.21	Moderate	mentalizing	calm	n/a
513.318	1.986	rating_mouse_trajectory	17.21	Moderate	mentalizing	calm	n/a
518.038	5.799	video	n/a	n/a	mentalizing	calm	task-shortvideo/ses-03_run-01_order-16_content-huggingpets.mp4
523.889	1.567	rating	173.66	Strongest possible	mentalizing	calm	n/a
524.256	1.201	rating_mouse_trajectory	173.66	Strongest possible	mentalizing	calm	n/a
528.907	3.125	cue	n/a	n/a	likeability	n/a	n/a
532.032	6.196	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
538.294	1.784	rating	99.59	Strongest possible	likeability	n/a	n/a
