onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
10.56	0.2	posner	valid_cue	correct	right	n/a	n/a	1
10.777	0.71	posner	target_response	correct	right	right	right	1
16.579	0.2	posner	valid_cue	correct	left	n/a	n/a	2
16.779	0.489	posner	target_response	correct	left	left	left	2
26.066	0.2	posner	valid_cue	correct	left	n/a	n/a	3
26.266	0.511	posner	target_response	correct	left	left	left	3
33.052	0.2	posner	invalid_cue	correct	right	n/a	n/a	4
33.252	0.576	posner	target_response	correct	right	left	left	4
40.021	0.2	posner	invalid_cue	correct	left	n/a	n/a	5
40.221	0.576	posner	target_response	correct	left	right	right	5
43.306	0.2	posner	invalid_cue	correct	left	n/a	n/a	6
43.506	0.527	posner	target_response	correct	left	right	right	6
50.775	0.2	posner	valid_cue	correct	left	n/a	n/a	7
50.975	0.419	posner	target_response	correct	left	left	left	7
58.244	0.2	posner	valid_cue	correct	right	n/a	n/a	8
58.445	0.497	posner	target_response	correct	right	right	right	8
62.013	0.2	posner	valid_cue	correct	left	n/a	n/a	9
62.213	0.399	posner	target_response	correct	left	left	left	9
65.681	0.2	posner	valid_cue	correct	left	n/a	n/a	10
65.881	0.396	posner	target_response	correct	left	left	left	10
70.249	0.2	posner	valid_cue	correct	right	n/a	n/a	11
70.449	0.413	posner	target_response	correct	right	right	right	11
76.718	0.2	posner	valid_cue	correct	right	n/a	n/a	12
76.918	0.445	posner	target_response	correct	right	right	right	12
79.986	0.2	posner	valid_cue	correct	right	n/a	n/a	13
80.186	0.474	posner	target_response	correct	right	right	right	13
83.354	0.2	posner	invalid_cue	correct	right	n/a	n/a	14
83.554	0.451	posner	target_response	correct	right	left	left	14
89.923	0.2	posner	valid_cue	correct	left	n/a	n/a	15
90.123	0.386	posner	target_response	correct	left	left	left	15
92.891	0.2	posner	invalid_cue	correct	left	n/a	n/a	16
93.091	0.463	posner	target_response	correct	left	right	right	16
97.859	0.2	posner	valid_cue	correct	left	n/a	n/a	17
98.059	0.37	posner	target_response	correct	left	left	left	17
104.328	0.2	posner	valid_cue	correct	left	n/a	n/a	18
104.528	0.344	posner	target_response	correct	left	left	left	18
111.798	0.2	posner	valid_cue	correct	left	n/a	n/a	19
111.998	0.385	posner	target_response	correct	left	left	left	19
120.768	0.2	posner	valid_cue	correct	left	n/a	n/a	20
120.968	0.318	posner	target_response	correct	left	left	left	20
125.836	0.2	posner	valid_cue	correct	left	n/a	n/a	21
126.036	0.356	posner	target_response	correct	left	left	left	21
130.305	0.2	posner	invalid_cue	correct	right	n/a	n/a	22
130.505	0.399	posner	target_response	correct	right	left	left	22
134.873	0.2	posner	invalid_cue	correct	right	n/a	n/a	23
135.073	0.377	posner	target_response	correct	right	left	left	23
137.941	0.2	posner	valid_cue	correct	right	n/a	n/a	24
138.141	0.464	posner	target_response	correct	right	right	right	24
141.509	0.2	posner	valid_cue	correct	left	n/a	n/a	25
141.709	0.358	posner	target_response	correct	left	left	left	25
144.677	0.2	posner	invalid_cue	correct	right	n/a	n/a	26
144.877	0.381	posner	target_response	correct	right	left	left	26
150.846	0.2	posner	valid_cue	correct	left	n/a	n/a	27
151.046	0.334	posner	target_response	correct	left	left	left	27
160.316	0.2	posner	valid_cue	correct	left	n/a	n/a	28
160.516	0.382	posner	target_response	correct	left	left	left	28
163.784	0.2	posner	valid_cue	correct	right	n/a	n/a	29
163.984	0.423	posner	target_response	correct	right	right	right	29
166.852	0.2	posner	invalid_cue	correct	left	n/a	n/a	30
167.052	0.471	posner	target_response	correct	left	right	right	30
174.321	0.2	posner	valid_cue	correct	right	n/a	n/a	31
174.521	0.45	posner	target_response	correct	right	right	right	31
179.89	0.2	posner	invalid_cue	correct	left	n/a	n/a	32
