onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.806	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	1
25.777	3.039	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/5b_question.txt	1
44.3	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	2
55.288	2.041	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	2
73.811	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	3
84.799	3.838	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/2p_question.txt	3
103.322	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	4
114.31	4.474	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	4
132.833	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.821	3.155	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/1p_question.txt	5
162.344	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.332	2.874	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.855	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	7
202.843	3.768	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	7
221.366	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	8
232.354	2.782	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	8
250.877	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	9
261.865	3.296	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	9
280.388	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	10
291.376	4.249	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	10
309.899	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	11
320.887	4.02	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	11
339.41	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	12
350.398	3.155	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	12
368.921	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	13
379.909	2.725	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	13
398.432	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	14
409.42	2.521	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	14
427.943	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	15
438.931	3.132	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	15
457.454	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	16
468.442	1.578	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	16
486.965	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	17
497.953	2.156	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	17
516.476	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	18
527.464	3.032	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	18
545.987	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	19
556.975	3.719	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	19
575.498	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	20
586.486	2.769	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	20
