onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.846	1.327	face	n/a	sex	happy	male	WC	old	task-faces/1Happy_Model3_2Male_1WC_2Old.mp4
5.173	1.438	rating	0.019	sex	happy	male	WC	old	n/a
5.99	0.621	rating_mouse_trajectory	0.019	sex	happy	male	WC	old	n/a
7.2	2.041	face	n/a	sex	pleasure	female	EA	young	task-faces/8Pleasure_Model1_1Female_2EA_1Young.mp4
9.242	0.969	rating	0.8584	sex	pleasure	female	EA	young	n/a
9.525	0.685	rating_mouse_trajectory	0.8584	sex	pleasure	female	EA	young	n/a
11.181	1.328	face	n/a	sex	disgust	male	African	old	task-faces/4Disgust_Model5_2Male_3African_2Old.mp4
12.509	0.752	rating	0.0	sex	disgust	male	African	old	n/a
12.743	0.519	rating_mouse_trajectory	0.0	sex	disgust	male	African	old	n/a
15.432	2.046	face	n/a	sex	pain	male	WC	old	task-faces/7Pain_Model2_2Male_1WC_2Old.mp4
17.478	0.835	rating	0.0	sex	pain	male	WC	old	n/a
17.761	0.552	rating_mouse_trajectory	0.0	sex	pain	male	WC	old	n/a
19.401	1.328	face	n/a	sex	anger	male	African	old	task-faces/5Anger_Model3_2Male_3African_2Old.mp4
20.729	0.968	rating	0.0	sex	anger	male	African	old	n/a
21.262	0.435	rating_mouse_trajectory	0.0	sex	anger	male	African	old	n/a
26.669	1.313	face	n/a	sex	happy	male	African	young	task-faces/1Happy_Model1_2Male_3African_1Young.mp4
27.982	0.861	rating	0.0	sex	happy	male	African	young	n/a
28.382	0.461	rating_mouse_trajectory	0.0	sex	happy	male	African	young	n/a
29.899	1.317	face	n/a	sex	disgust	male	African	young	task-faces/4Disgust_Model1_2Male_3African_1Young.mp4
31.216	1.685	rating	0.0	sex	disgust	male	African	young	n/a
31.466	1.435	rating_mouse_trajectory	0.0	sex	disgust	male	African	young	n/a
33.13	1.321	face	n/a	sex	fear	male	African	old	task-faces/3Fear_Model1_2Male_3African_2Old.mp4
34.451	0.708	rating	0.0	sex	fear	male	African	old	n/a
34.768	0.392	rating_mouse_trajectory	0.0	sex	fear	male	African	old	n/a
36.38	1.322	face	n/a	sex	fear	female	African	young	task-faces/3Fear_Model2_1Female_3African_1Young.mp4
37.702	0.651	rating	0.0	sex	fear	female	African	young	n/a
37.935	0.418	rating_mouse_trajectory	0.0	sex	fear	female	African	young	n/a
39.63	1.307	face	n/a	sex	happy	male	EA	young	task-faces/1Happy_Model1_2Male_2EA_1Young.mp4
40.937	0.939	rating	0.7249	sex	happy	male	EA	young	n/a
