onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.83	1.338	face	n/a	intensity	disgust	female	WC	old	task-faces/4Disgust_Model2_1Female_1WC_2Old.mp4
5.168	1.602	rating	0.2031	intensity	disgust	female	WC	old	n/a
5.701	1.069	rating_mouse_trajectory	0.2031	intensity	disgust	female	WC	old	n/a
7.208	2.045	face	n/a	intensity	pain	male	African	old	task-faces/7Pain_Model4_2Male_3African_2Old.mp4
9.253	0.678	rating	0.644	intensity	pain	male	African	old	n/a
9.603	0.328	rating_mouse_trajectory	0.644	intensity	pain	male	African	old	n/a
11.194	1.311	face	n/a	intensity	fear	male	EA	old	task-faces/3Fear_Model2_2Male_2EA_2Old.mp4
12.504	0.685	rating	0.3366	intensity	fear	male	EA	old	n/a
12.804	0.385	rating_mouse_trajectory	0.3366	intensity	fear	male	EA	old	n/a
15.436	1.303	face	n/a	intensity	happy	male	EA	old	task-faces/1Happy_Model1_2Male_2EA_2Old.mp4
16.739	0.618	rating	0.731	intensity	happy	male	EA	old	n/a
16.806	0.551	rating_mouse_trajectory	0.731	intensity	happy	male	EA	old	n/a
18.674	1.316	face	n/a	intensity	happy	female	EA	old	task-faces/1Happy_Model5_1Female_2EA_2Old.mp4
19.99	0.79	rating	0.8908	intensity	happy	female	EA	old	n/a
20.224	0.557	rating_mouse_trajectory	0.8908	intensity	happy	female	EA	old	n/a
25.948	1.312	face	n/a	intensity	anger	male	WC	young	task-faces/5Anger_Model4_2Male_1WC_1Young.mp4
27.26	0.671	rating	0.3062	intensity	anger	male	WC	young	n/a
27.51	0.421	rating_mouse_trajectory	0.3062	intensity	anger	male	WC	young	n/a
29.182	1.312	face	n/a	intensity	happy	male	WC	young	task-faces/1Happy_Model2_2Male_1WC_1Young.mp4
30.494	0.669	rating	0.29	intensity	happy	male	WC	young	n/a
30.744	0.419	rating_mouse_trajectory	0.29	intensity	happy	male	WC	young	n/a
32.418	1.31	face	n/a	intensity	disgust	male	WC	old	task-faces/4Disgust_Model3_2Male_1WC_2Old.mp4
33.729	0.768	rating	0.0676	intensity	disgust	male	WC	old	n/a
33.995	0.501	rating_mouse_trajectory	0.0676	intensity	disgust	male	WC	old	n/a
35.634	1.313	face	n/a	intensity	sad	male	WC	young	task-faces/6Sad_Model5_2Male_1WC_1Young.mp4
36.947	0.801	rating	0.0	intensity	sad	male	WC	young	n/a
37.213	0.535	rating_mouse_trajectory	0.0	intensity	sad	male	WC	young	n/a
38.868	2.047	face	n/a	intensity	pleasure	female	WC	young	task-faces/8Pleasure_Model1_1Female_1WC_1Young.mp4
40.915	0.635	rating	0.3366	intensity	pleasure	female	WC	young	n/a
40.998	0.552	rating_mouse_trajectory	0.3366	intensity	pleasure	female	WC	young	n/a
44.836	1.314	face	n/a	intensity	surprise	male	WC	old	task-faces/2Surprise_Model5_2Male_1WC_2Old.mp4
46.15	0.552	rating	0.7108	intensity	surprise	male	WC	old	n/a
46.267	0.435	rating_mouse_trajectory	0.7108	intensity	surprise	male	WC	old	n/a
49.069	1.316	face	n/a	intensity	happy	female	WC	young	task-faces/1Happy_Model2_1Female_1WC_1Young.mp4
50.385	0.601	rating	0.6723	intensity	happy	female	WC	young	n/a
50.485	0.501	rating_mouse_trajectory	0.6723	intensity	happy	female	WC	young	n/a
