onset	duration	trial_type	response_value	stim_file_TODO
2.767	148.051	video	n/a	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
152.984	2.114	rating_relevance	9.06	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
157.502	1.616	rating_happy	14.27	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
163.155	2.25	rating_sad	10.94	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
169.957	4.022	rating_afraid	23.02	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
172.375	1.423	rating_disgusted	15.21	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
177.643	1.682	rating_warm	9.9	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
182.795	1.816	rating_engaged	54.27	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
186.018	86.6	video	n/a	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
275.53	2.865	rating_relevance	41.98	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
280.115	2.432	rating_happy	59.17	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
284.383	1.682	rating_sad	34.58	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
289.452	1.732	rating_afraid	17.19	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
294.887	2.15	rating_disgusted	2.5	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
300.806	3.05	rating_warm	50.52	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
305.691	2.918	rating_engaged	64.17	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
307.809	196.692	video	n/a	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
507.1	2.545	rating_relevance	5.52	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
511.501	1.931	rating_happy	37.29	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
516.803	2.217	rating_sad	16.56	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
524.056	4.451	rating_afraid	10.73	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
527.791	3.167	rating_disgusted	0.0	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
532.009	2.367	rating_warm	0.83	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
537.394	2.733	rating_engaged	53.33	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
539.689	35.163	video	n/a	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
579.393	n/a	rating_relevance	n/a	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
582.694	2.782	rating_happy	18.02	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
587.996	3.065	rating_sad	12.71	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
593.532	3.582	rating_afraid	1.77	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
598.684	3.716	rating_disgusted	3.12	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
604.503	n/a	rating_warm	n/a	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
607.404	2.384	rating_engaged	49.79	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
