onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.83	3.225	cue	n/a	n/a	similarity	n/a	n/a
6.055	5.995	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
12.167	2.502	rating	8.07	Weak	similarity	n/a	n/a
12.65	2.018	rating_mouse_trajectory	8.07	Weak	similarity	n/a	n/a
17.362	4.087	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
21.52	2.602	rating	19.31	Moderate	similarity	n/a	n/a
21.87	2.252	rating_mouse_trajectory	19.31	Moderate	similarity	n/a	n/a
26.647	5.561	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
32.291	1.807	rating	28.35	Moderate	similarity	n/a	n/a
32.841	1.257	rating_mouse_trajectory	28.35	Moderate	similarity	n/a	n/a
37.31	3.117	cue	n/a	n/a	mentalizing	remember	n/a
40.427	5.505	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
46.013	4.683	rating	25.64	Moderate	mentalizing	remember	n/a
47.663	3.033	rating_mouse_trajectory	25.64	Moderate	mentalizing	remember	n/a
51.148	5.568	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
56.784	4.967	rating	60.1	Strong	mentalizing	remember	n/a
57.367	4.383	rating_mouse_trajectory	60.1	Strong	mentalizing	remember	n/a
61.872	5.226	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
67.154	3.761	rating	76.08	Very strong	mentalizing	remember	n/a
67.637	3.278	rating_mouse_trajectory	76.08	Very strong	mentalizing	remember	n/a
72.173	3.126	cue	n/a	n/a	likeability	n/a	n/a
75.299	5.5	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
80.859	2.201	rating	101.31	Strongest possible	likeability	n/a	n/a
81.293	1.768	rating_mouse_trajectory	101.31	Strongest possible	likeability	n/a	n/a
85.969	6.346	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
92.38	2.069	rating	29.03	Strong	likeability	n/a	n/a
92.814	1.636	rating_mouse_trajectory	29.03	Strong	likeability	n/a	n/a
97.51	4.074	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
