onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.972	1.05	memory	dummy	study_dummy	n/a	task-memory/obj045camel.png	n/a	n/a
10.039	1.034	memory	dummy	study_dummy	n/a	task-memory/obj125guitar.png	n/a	n/a
12.107	1.017	memory	dummy	study_dummy	n/a	task-memory/obj159knot.png	n/a	n/a
14.141	1.017	memory	study	study	n/a	task-memory/obj023belt.png	n/a	n/a
16.175	1.034	memory	study	study	n/a	task-memory/obj173lock.png	n/a	n/a
18.226	1.034	memory	study	study	n/a	task-memory/obj044cake.png	n/a	n/a
20.277	1.034	memory	study	study	n/a	task-memory/obj041button.png	n/a	n/a
22.328	1.034	memory	study	study	n/a	task-memory/obj061church.png	n/a	n/a
24.378	1.017	memory	study	study	n/a	task-memory/obj162lawnmower.png	n/a	n/a
26.429	1.017	memory	study	study	n/a	task-memory/obj171lizard.png	n/a	n/a
28.48	1.017	memory	study	study	n/a	task-memory/obj323vacuum.png	n/a	n/a
30.531	1.017	memory	study	study	n/a	task-memory/obj084dolphin.png	n/a	n/a
32.582	1.017	memory	study	study	n/a	task-memory/obj035box.png	n/a	n/a
34.616	1.017	memory	study	study	n/a	task-memory/obj219pillow.png	n/a	n/a
36.65	1.017	memory	study	study	n/a	task-memory/obj193needle.png	n/a	n/a
38.684	1.017	memory	study	study	n/a	task-memory/obj218pig.png	n/a	n/a
40.718	1.017	memory	study	study	n/a	task-memory/obj214pencil.png	n/a	n/a
42.752	1.017	memory	study	study	n/a	task-memory/obj329walrus.png	n/a	n/a
44.787	1.017	memory	study	study	n/a	task-memory/obj101fence.png	n/a	n/a
46.821	1.017	memory	study	study	n/a	task-memory/obj221pinecone.png	n/a	n/a
48.855	1.017	memory	study	study	n/a	task-memory/obj300thermos.png	n/a	n/a
50.889	1.017	memory	study	study	n/a	task-memory/obj199onion.png	n/a	n/a
52.923	1.017	memory	study	study	n/a	task-memory/obj243robot.png	n/a	n/a
54.957	1.017	memory	dummy	study_dummy	n/a	task-memory/obj230priest.png	n/a	n/a
56.991	1.017	memory	dummy	study_dummy	n/a	task-memory/obj259scarf.png	n/a	n/a
59.026	1.017	memory	dummy	study_dummy	n/a	task-memory/obj274slide.png	n/a	n/a
71.281	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.342	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.403	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.464	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
189.328	1.728	memory	test	test_new	correct	task-memory/obj032boot.png	new	n/a
192.396	1.84	memory	test	test_new	incorrect	task-memory/obj152jumprope.png	old	n/a
195.764	1.045	memory	test	test_old	correct	task-memory/obj214pencil.png	old	n/a
198.615	0.836	memory	test	test_old	correct	task-memory/obj219pillow.png	old	n/a
201.35	1.13	memory	test	test_old	correct	task-memory/obj221pinecone.png	old	n/a
204.301	0.835	memory	test	test_old	correct	task-memory/obj199onion.png	old	n/a
206.968	1.222	memory	test	test_new	correct	task-memory/obj318tweezers.png	new	n/a
209.953	1.039	memory	test	test_new	correct	task-memory/obj163leaf.png	new	n/a
212.954	1.418	memory	test	test_new	correct	task-memory/obj348zipper.png	new	n/a
215.705	0.97	memory	test	test_old	correct	task-memory/obj023belt.png	old	n/a
218.656	1.324	memory	test	test_old	correct	task-memory/obj300thermos.png	old	n/a
221.491	0.878	memory	test	test_old	correct	task-memory/obj101fence.png	old	n/a
224.475	1.167	memory	test	test_new	correct	task-memory/obj211peanut.png	new	n/a
227.243	1.031	memory	test	test_old	correct	task-memory/obj193needle.png	old	n/a
230.028	1.111	memory	test	test_new	correct	task-memory/obj346yoyo.png	new	n/a
232.645	0.809	memory	test	test_old	correct	task-memory/obj044cake.png	old	n/a
235.413	0.997	memory	test	test_new	correct	task-memory/obj269skateboard.png	new	n/a
237.981	0.786	memory	test	test_old	correct	task-memory/obj084dolphin.png	old	n/a
240.515	0.952	memory	test	test_new	correct	task-memory/obj210peacock.png	new	n/a
243.266	0.716	memory	test	test_old	correct	task-memory/obj061church.png	old	n/a
246.251	0.843	memory	test	test_old	correct	task-memory/obj162lawnmower.png	old	n/a
249.085	1.728	memory	test	test_new	incorrect	task-memory/obj337whip.png	old	n/a
252.237	0.785	memory	test	test_old	correct	task-memory/obj243robot.png	old	n/a
255.188	0.896	memory	test	test_new	correct	task-memory/obj055chair.png	new	n/a
258.039	1.059	memory	test	test_new	correct	task-memory/obj086door.png	new	n/a
261.04	0.918	memory	test	test_new	correct	task-memory/obj064clock.png	new	n/a
263.858	0.706	memory	test	test_old	correct	task-memory/obj329walrus.png	old	n/a
266.792	1.077	memory	test	test_new	correct	task-memory/obj113fox.png	new	n/a
269.527	1.134	memory	test	test_new	correct	task-memory/obj341window.png	new	n/a
272.445	1.097	memory	test	test_old	correct	task-memory/obj041button.png	old	n/a
275.046	0.924	memory	test	test_old	correct	task-memory/obj218pig.png	old	n/a
277.914	0.854	memory	test	test_new	correct	task-memory/obj104fish.png	new	n/a
280.498	0.967	memory	test	test_old	correct	task-memory/obj171lizard.png	old	n/a
283.282	0.977	memory	test	test_new	correct	task-memory/obj167lightning.png	new	n/a
285.967	1.501	memory	test	test_new	correct	task-memory/obj254safe.png	new	n/a
288.785	0.822	memory	test	test_old	correct	task-memory/obj323vacuum.png	old	n/a
291.536	1.079	memory	test	test_old	correct	task-memory/obj173lock.png	old	n/a
294.187	0.74	memory	test	test_new	correct	task-memory/obj339wig.png	new	n/a
297.121	0.83	memory	test	test_old	correct	task-memory/obj035box.png	old	n/a
299.706	1.743	memory	test	test_new	incorrect	task-memory/obj231pumpkin.png	old	n/a
308.526	1.017	memory	dummy	study_dummy	n/a	task-memory/obj070cow.png	n/a	n/a
310.56	1.017	memory	dummy	study_dummy	n/a	task-memory/obj092ear.png	n/a	n/a
312.594	1.017	memory	dummy	study_dummy	n/a	task-memory/obj119girl.png	n/a	n/a
314.628	1.017	memory	study	study	n/a	task-memory/obj158knight.png	n/a	n/a
316.663	1.017	memory	study	study	n/a	task-memory/obj326violin.png	n/a	n/a
318.697	1.017	memory	study	study	n/a	task-memory/obj094elephant.png	n/a	n/a
320.731	1.017	memory	study	study	n/a	task-memory/obj174magnet.png	n/a	n/a
322.765	1.017	memory	study	study	n/a	task-memory/obj088drawer.png	n/a	n/a
324.799	1.017	memory	study	study	n/a	task-memory/obj050cannon.png	n/a	n/a
326.833	1.017	memory	study	study	n/a	task-memory/obj102finger.png	n/a	n/a
328.867	1.017	memory	study	study	n/a	task-memory/obj306toilet.png	n/a	n/a
330.902	1.017	memory	study	study	n/a	task-memory/obj010baby.png	n/a	n/a
332.936	1.017	memory	study	study	n/a	task-memory/obj096eskimo.png	n/a	n/a
334.97	1.034	memory	study	study	n/a	task-memory/obj033bottle.png	n/a	n/a
337.021	1.017	memory	study	study	n/a	task-memory/obj068cork.png	n/a	n/a
339.055	1.017	memory	study	study	n/a	task-memory/obj095envelope.png	n/a	n/a
341.106	1.017	memory	study	study	n/a	task-memory/obj138helmet.png	n/a	n/a
343.14	1.017	memory	study	study	n/a	task-memory/obj115funnel.png	n/a	n/a
345.174	1.017	memory	study	study	n/a	task-memory/obj208paper.png	n/a	n/a
347.208	1.017	memory	study	study	n/a	task-memory/obj142hook.png	n/a	n/a
349.242	1.017	memory	study	study	n/a	task-memory/obj060chimney.png	n/a	n/a
351.276	1.017	memory	study	study	n/a	task-memory/obj128hamburger.png	n/a	n/a
353.311	1.017	memory	study	study	n/a	task-memory/obj324vase.png	n/a	n/a
355.345	1.017	memory	dummy	study_dummy	n/a	task-memory/obj175mailbox.png	n/a	n/a
357.379	1.017	memory	dummy	study_dummy	n/a	task-memory/obj294tank.png	n/a	n/a
359.413	1.017	memory	dummy	study_dummy	n/a	task-memory/obj308toothbrush.png	n/a	n/a
371.618	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
399.696	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
427.757	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
455.818	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
489.232	1.211	memory	test	test_new	correct	task-memory/obj080diaper.png	new	n/a
492.016	0.733	memory	test	test_old	correct	task-memory/obj068cork.png	old	n/a
494.617	1.063	memory	test	test_new	correct	task-memory/obj315trumpet.png	new	n/a
497.652	1.319	memory	test	test_old	incorrect	task-memory/obj095envelope.png	new	n/a
500.67	0.869	memory	test	test_old	correct	task-memory/obj174magnet.png	old	n/a
503.404	0.855	memory	test	test_new	correct	task-memory/obj202package.png	new	n/a
506.155	0.903	memory	test	test_new	correct	task-memory/obj129hammer.png	new	n/a
509.007	0.678	memory	test	test_old	correct	task-memory/obj208paper.png	old	n/a
512.041	1.212	memory	test	test_new	correct	task-memory/obj262screw.png	new	n/a
514.809	1.003	memory	test	test_new	correct	task-memory/obj278snowman.png	new	n/a
517.377	0.738	memory	test	test_old	correct	task-memory/obj102finger.png	old	n/a
520.128	0.928	memory	test	test_new	correct	task-memory/obj327volcano.png	new	n/a
523.062	0.962	memory	test	test_old	correct	task-memory/obj033bottle.png	old	n/a
525.663	1.031	memory	test	test_new	correct	task-memory/obj180medal.png	new	n/a
528.548	1.396	memory	test	test_old	correct	task-memory/obj142hook.png	old	n/a
531.449	1.134	memory	test	test_new	correct	task-memory/obj087dragon.png	new	n/a
534.45	1.102	memory	test	test_old	correct	task-memory/obj138helmet.png	old	n/a
537.218	0.742	memory	test	test_old	correct	task-memory/obj128hamburger.png	old	n/a
539.902	1.264	memory	test	test_new	correct	task-memory/obj292sword.png	new	n/a
542.503	1.035	memory	test	test_new	correct	task-memory/obj139highchair.png	new	n/a
545.104	1.175	memory	test	test_new	correct	task-memory/obj078dentist.png	new	n/a
548.089	1.248	memory	test	test_new	correct	task-memory/obj144hose.png	new	n/a
550.773	0.706	memory	test	test_old	correct	task-memory/obj094elephant.png	old	n/a
553.641	0.881	memory	test	test_old	correct	task-memory/obj158knight.png	old	n/a
556.392	0.96	memory	test	test_old	correct	task-memory/obj050cannon.png	old	n/a
559.36	0.828	memory	test	test_old	correct	task-memory/obj324vase.png	old	n/a
562.361	1.07	memory	test	test_new	correct	task-memory/obj127hair.png	new	n/a
565.379	0.844	memory	test	test_new	correct	task-memory/obj165leopard.png	new	n/a
568.397	0.918	memory	test	test_new	correct	task-memory/obj019basket.png	new	n/a
571.348	1.029	memory	test	test_new	correct	task-memory/obj249rooster.png	new	n/a
574.133	1.014	memory	test	test_new	correct	task-memory/obj172lobster.png	new	n/a
577.134	1.421	memory	test	test_old	correct	task-memory/obj096eskimo.png	old	n/a
579.785	0.955	memory	test	test_old	correct	task-memory/obj115funnel.png	old	n/a
582.619	1.28	memory	test	test_old	correct	task-memory/obj326violin.png	old	n/a
585.421	1.122	memory	test	test_old	correct	task-memory/obj306toilet.png	old	n/a
588.022	1.269	memory	test	test_new	correct	task-memory/obj330watch.png	new	n/a
590.873	0.953	memory	test	test_old	correct	task-memory/obj010baby.png	old	n/a
593.724	1.029	memory	test	test_old	correct	task-memory/obj060chimney.png	old	n/a
596.492	0.845	memory	test	test_new	correct	task-memory/obj328waiter.png	new	n/a
599.159	0.948	memory	test	test_old	correct	task-memory/obj088drawer.png	old	n/a
