onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.961	1.034	memory	dummy	study_dummy	n/a	task-memory/obj006apple.png	n/a	n/a
10.029	1.017	memory	dummy	study_dummy	n/a	task-memory/obj035box.png	n/a	n/a
12.079	1.017	memory	dummy	study_dummy	n/a	task-memory/obj138helmet.png	n/a	n/a
14.114	1.017	memory	study	study	n/a	task-memory/obj068cork.png	n/a	n/a
16.164	1.017	memory	study	study	n/a	task-memory/obj061church.png	n/a	n/a
18.198	1.017	memory	study	study	n/a	task-memory/obj064clock.png	n/a	n/a
20.233	1.017	memory	study	study	n/a	task-memory/obj341window.png	n/a	n/a
22.267	1.017	memory	study	study	n/a	task-memory/obj151puzzle.png	n/a	n/a
24.301	1.017	memory	study	study	n/a	task-memory/obj018barrel.png	n/a	n/a
26.335	1.017	memory	study	study	n/a	task-memory/obj272skunk.png	n/a	n/a
28.369	1.017	memory	study	study	n/a	task-memory/obj144hose.png	n/a	n/a
30.403	1.017	memory	study	study	n/a	task-memory/obj088drawer.png	n/a	n/a
32.437	1.017	memory	study	study	n/a	task-memory/obj233pyramid.png	n/a	n/a
34.471	1.017	memory	study	study	n/a	task-memory/obj183mirror.png	n/a	n/a
36.505	1.017	memory	study	study	n/a	task-memory/obj205pan.png	n/a	n/a
38.539	1.017	memory	study	study	n/a	task-memory/obj317turtle.png	n/a	n/a
40.573	1.017	memory	study	study	n/a	task-memory/obj093egg.png	n/a	n/a
42.608	1.034	memory	study	study	n/a	task-memory/obj309top.png	n/a	n/a
44.658	1.017	memory	study	study	n/a	task-memory/obj275slingshot.png	n/a	n/a
46.692	1.017	memory	study	study	n/a	task-memory/obj107flower.png	n/a	n/a
48.743	1.017	memory	study	study	n/a	task-memory/obj141hoof.png	n/a	n/a
50.777	1.017	memory	study	study	n/a	task-memory/obj211peanut.png	n/a	n/a
52.828	1.017	memory	study	study	n/a	task-memory/obj175mailbox.png	n/a	n/a
54.862	1.017	memory	dummy	study_dummy	n/a	task-memory/obj273sled.png	n/a	n/a
56.896	1.017	memory	dummy	study_dummy	n/a	task-memory/obj313trophy.png	n/a	n/a
58.93	1.017	memory	dummy	study_dummy	n/a	task-memory/obj326violin.png	n/a	n/a
71.202	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.262	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.322	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.383	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.829	0.899	memory	test	test_old	correct	task-memory/obj275slingshot.png	old	n/a
191.446	1.714	memory	test	test_old	correct	task-memory/obj341window.png	old	n/a
194.464	0.814	memory	test	test_new	correct	task-memory/obj247rollerskate.png	new	n/a
196.998	0.755	memory	test	test_old	correct	task-memory/obj205pan.png	old	n/a
199.916	0.757	memory	test	test_new	correct	task-memory/obj193needle.png	new	n/a
202.801	0.615	memory	test	test_old	correct	task-memory/obj317turtle.png	old	n/a
205.518	0.951	memory	test	test_new	correct	task-memory/obj110football.png	new	n/a
208.519	0.783	memory	test	test_new	correct	task-memory/obj019basket.png	new	n/a
211.17	0.719	memory	test	test_old	correct	task-memory/obj088drawer.png	old	n/a
213.888	0.723	memory	test	test_new	correct	task-memory/obj339wig.png	new	n/a
216.439	0.65	memory	test	test_old	correct	task-memory/obj093egg.png	old	n/a
219.123	0.72	memory	test	test_old	correct	task-memory/obj233pyramid.png	old	n/a
221.974	0.766	memory	test	test_new	correct	task-memory/obj036bread.png	new	n/a
224.792	0.644	memory	test	test_new	correct	task-memory/obj126gun.png	new	n/a
227.51	0.718	memory	test	test_new	correct	task-memory/obj155king.png	new	n/a
230.461	0.693	memory	test	test_old	correct	task-memory/obj211peanut.png	old	n/a
233.212	0.693	memory	test	test_old	correct	task-memory/obj309top.png	old	n/a
236.013	0.762	memory	test	test_old	correct	task-memory/obj068cork.png	old	n/a
238.781	0.709	memory	test	test_new	correct	task-memory/obj210peacock.png	new	n/a
241.615	0.671	memory	test	test_new	correct	task-memory/obj333whale.png	new	n/a
244.583	0.653	memory	test	test_old	correct	task-memory/obj018barrel.png	old	n/a
247.217	0.783	memory	test	test_old	correct	task-memory/obj183mirror.png	old	n/a
249.901	0.748	memory	test	test_new	correct	task-memory/obj028boat.png	new	n/a
252.619	0.706	memory	test	test_new	correct	task-memory/obj345wrench.png	new	n/a
255.604	1.021	memory	test	test_new	correct	task-memory/obj166lightbulb.png	new	n/a
258.621	0.677	memory	test	test_new	correct	task-memory/obj039bus.png	new	n/a
261.356	0.701	memory	test	test_old	correct	task-memory/obj175mailbox.png	old	n/a
264.057	0.715	memory	test	test_old	correct	task-memory/obj141hoof.png	old	n/a
266.724	0.723	memory	test	test_new	correct	task-memory/obj133harp.png	new	n/a
269.425	0.954	memory	test	test_new	correct	task-memory/obj254safe.png	new	n/a
272.21	0.64	memory	test	test_new	correct	task-memory/obj020bat.png	new	n/a
