onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
0.097	2.017	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.025	1.171	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	1
6.509	0.67	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_532.jpg	2
7.492	0.686	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	3
8.493	0.786	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg	4
9.593	0.671	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_364.jpg	5
10.577	0.968	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	6
11.861	0.618	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	7
12.794	0.535	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_132.jpg	8
17.537	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.548	0.652	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg	9
23.515	0.652	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	10
24.482	0.685	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	11
25.482	0.513	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_130.jpg	12
26.299	0.651	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	13
27.266	0.545	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_007.jpg	14
28.117	0.695	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg	15
29.117	0.735	tomspunt	healthy?	why_hand	yes	no	incorrect	task-tomspunt/H_019.jpg	16
36.644	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.655	0.424	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	17
42.389	0.539	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	18
43.239	0.535	tomspunt	admiring?	why_face	yes	no	incorrect	task-tomspunt/F_110.jpg	19
44.089	0.372	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	20
44.773	0.405	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	21
45.49	0.339	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	22
46.14	0.272	tomspunt	admiring?	why_face	no	yes	incorrect	task-tomspunt/F_648.jpg	23
46.724	0.422	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	24
55.618	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	25
60.629	0.452	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	25
61.396	0.418	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	26
62.129	0.451	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	27
62.896	0.501	tomspunt	smiling?	how_face	yes	no	incorrect	task-tomspunt/F_758.jpg	28
63.713	0.369	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	29
64.397	0.318	tomspunt	smiling?	how_face	no	yes	incorrect	task-tomspunt/F_759.jpg	30
65.031	0.318	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	31
65.664	0.352	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	32
73.141	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	33
78.152	0.427	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	33
78.886	0.392	tomspunt	lifting?	how_hand	yes	no	incorrect	task-tomspunt/H_038.jpg	34
79.586	0.452	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg	35
80.353	0.468	tomspunt	lifting?	how_hand	yes	no	incorrect	task-tomspunt/H_077.jpg	36
81.137	0.442	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	37
81.887	0.541	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	38
82.737	0.358	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	39
83.404	0.335	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_170.jpg	40
95.633	2.084	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a	41
100.644	0.352	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg	41
101.311	0.385	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	42
102.011	0.502	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg	43
102.828	0.535	tomspunt	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_024.jpg	44
103.678	0.351	tomspunt	helping?	why_hand	yes	no	incorrect	task-tomspunt/H_012.jpg	45
104.345	0.367	tomspunt	helping?	why_hand	yes	no	incorrect	task-tomspunt/H_159.jpg	46
105.012	0.517	tomspunt	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_111.jpg	47
105.829	0.652	tomspunt	helping?	why_hand	yes	no	incorrect	task-tomspunt/H_091.jpg	48
113.506	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	49
118.517	0.378	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	49
119.201	0.511	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg	50
120.018	0.385	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	51
120.718	0.494	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	52
121.518	0.41	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	53
122.235	0.468	tomspunt	proud?	why_face	yes	no	incorrect	task-tomspunt/F_776.jpg	54
123.019	0.444	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	55
123.769	0.443	tomspunt	proud?	why_face	no	yes	incorrect	task-tomspunt/F_695.jpg	56
131.029	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	57
136.04	0.335	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	57
136.691	0.405	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg	58
137.408	0.371	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	59
138.091	0.387	tomspunt	looking to side?	how_face	yes	no	incorrect	task-tomspunt/F_779.jpg	60
138.791	0.437	tomspunt	looking to side?	how_face	no	yes	incorrect	task-tomspunt/F_760.jpg	61
139.542	0.421	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	62
140.275	0.436	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg	63
141.026	0.436	tomspunt	looking to side?	how_face	yes	no	incorrect	task-tomspunt/F_798.jpg	64
150.137	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a	65
155.147	0.398	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg	65
155.848	0.364	tomspunt	argument?	why_face	yes	no	incorrect	task-tomspunt/F_139.jpg	66
156.515	0.485	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg	67
157.315	0.497	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_433.jpg	68
158.115	0.401	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg	69
158.832	0.463	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg	70
159.599	0.469	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg	71
160.383	0.285	tomspunt	argument?	why_face	no	yes	incorrect	task-tomspunt/F_758.jpg	72
167.977	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a	73
172.987	0.369	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg	73
173.671	0.368	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg	74
174.355	0.419	tomspunt	open mouth?	how_face	yes	no	incorrect	task-tomspunt/F_544.jpg	75
175.088	0.285	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg	76
175.688	0.39	tomspunt	open mouth?	how_face	yes	no	incorrect	task-tomspunt/F_584.jpg	77
176.389	0.506	tomspunt	open mouth?	how_face	no	yes	incorrect	task-tomspunt/F_403.jpg	78
177.206	0.023	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg	79
177.539	0.256	tomspunt	open mouth?	how_face	yes	no	incorrect	task-tomspunt/F_648.jpg	80
185.867	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a	81
190.877	0.402	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg	81
191.594	0.469	tomspunt	pressing button?	how_hand	yes	no	incorrect	task-tomspunt/H_024.jpg	82
192.378	0.368	tomspunt	pressing button?	how_hand	yes	no	incorrect	task-tomspunt/H_130.jpg	83
193.062	0.468	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg	84
193.845	0.468	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg	85
194.629	0.485	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg	86
195.429	0.585	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg	87
196.329	0.518	tomspunt	pressing button?	how_hand	no	yes	incorrect	task-tomspunt/H_483.jpg	88
203.657	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a	89
208.667	0.411	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg	89
209.384	0.727	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg	90
210.418	0.702	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg	91
211.435	0.652	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg	92
212.402	0.643	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg	93
213.352	0.659	tomspunt	competing?	why_hand	yes	no	incorrect	task-tomspunt/H_502.jpg	94
214.32	0.542	tomspunt	competing?	why_hand	no	yes	incorrect	task-tomspunt/H_003.jpg	95
215.17	0.492	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg	96
221.73	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a	97
226.741	0.638	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_544.jpg	97
227.691	0.87	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg	98
228.875	0.62	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg	99
229.809	0.636	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg	100
230.759	0.62	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg	101
231.693	0.77	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_754.jpg	102
232.776	0.919	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg	103
234.01	0.968	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_584.jpg	104
240.787	2.101	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a	105
245.798	0.652	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg	105
246.765	0.68	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg	106
247.749	0.696	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg	107
248.749	0.751	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg	108
249.816	0.018	tomspunt	looking at camera?	how_face	no	yes	incorrect	task-tomspunt/F_774.jpg	109
250.15	1.369	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_582.jpg	110
251.834	1.285	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg	111
253.434	0.735	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg	112
259.577	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a	113
264.588	1.04	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg	113
265.939	0.69	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg	114
266.939	0.935	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg	115
268.19	0.856	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg	116
269.357	0.869	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg	117
270.54	0.785	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg	118
271.641	0.985	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg	119
272.941	0.737	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg	120
278.368	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a	121
283.379	0.635	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg	121
284.329	0.768	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	122
285.413	0.935	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg	123
286.663	0.735	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg	124
287.714	0.919	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg	125
288.947	0.801	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg	126
290.064	0.968	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	127
291.348	1.164	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg	128
299.842	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	129
304.853	0.492	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	129
305.654	0.668	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	130
306.637	0.685	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	131
307.638	0.635	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	132
308.588	0.602	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	133
