onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	trial_index
14.814	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	1
25.785	4.044	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	1
44.309	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	2
55.296	4.496	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	2
73.82	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	3
84.807	3.98	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	3
103.331	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	4
114.318	4.329	tomsaxe	response	falsebelief	correct	task-tomsaxe/10b_question.txt	4
132.842	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.829	4.176	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.353	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.357	3.542	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.88	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	7
202.868	1.825	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	7
221.391	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	8
232.379	6.045	tomsaxe	response	falsebelief	correct	task-tomsaxe/7b_question.txt	8
250.969	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	9
261.956	2.722	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	9
280.48	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	10
291.467	3.053	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	10
309.991	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	11
320.978	4.151	tomsaxe	response	falsephoto	correct	task-tomsaxe/4p_question.txt	11
339.502	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	12
350.489	3.226	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	12
369.013	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	13
380.0	3.479	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	13
398.524	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	14
409.512	3.64	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	14
428.035	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	15
439.023	4.671	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	15
457.546	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	16
468.534	4.832	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	16
487.057	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	17
498.045	4.405	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	17
516.585	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	18
527.556	3.901	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	18
546.079	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.067	5.147	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.59	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.578	2.784	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
