onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
5.02	1.35	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
6.67	0.766	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
7.738	0.019	tomspunt	smiling?	how_face	no	yes	incorrect	task-tomspunt/F_593.jpg
8.071	0.635	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
9.021	0.854	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
10.188	0.58	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
11.072	0.685	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg
12.072	0.619	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
22.86	0.643	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
23.81	0.592	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
24.711	0.701	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
25.728	0.674	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
26.711	0.707	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
27.728	0.707	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
28.745	0.685	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
29.746	0.89	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
41.917	1.419	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
43.651	1.035	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
45.001	0.869	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg
46.185	1.218	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
47.719	1.002	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
49.036	1.702	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg
51.054	1.431	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
52.788	0.964	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
60.874	0.802	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg
61.991	0.778	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg
63.075	0.701	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg
64.092	0.835	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg
65.242	0.818	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg
66.376	0.693	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg
67.376	0.809	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg
68.494	0.891	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg
78.664	0.787	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg
79.764	1.204	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg
81.282	0.953	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg
82.549	1.569	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg
84.433	1.169	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg
85.917	1.535	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg
87.767	0.868	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg
88.951	1.185	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg
97.721	0.868	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg
98.905	0.885	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg
100.105	0.619	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg
101.039	1.029	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_433.jpg
102.373	1.079	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg
103.757	1.135	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg
105.207	1.028	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg
106.541	0.744	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg
120.213	1.273	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg
121.797	1.005	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg
123.114	1.387	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg
124.815	1.204	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg
126.332	1.07	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg
127.716	1.337	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg
129.366	1.236	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg
130.917	1.602	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg
138.053	1.066	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg
139.42	0.769	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg
140.504	1.102	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg
141.921	0.901	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg
143.138	1.019	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg
144.472	1.252	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg
146.039	0.896	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg
147.24	1.079	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg
155.843	0.902	tomspunt	competing?	why_hand	no	yes	incorrect	task-tomspunt/H_170.jpg
157.06	0.735	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg
158.11	0.892	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg
159.311	0.791	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg
160.411	1.224	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg
161.945	0.774	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg
163.029	0.973	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg
164.313	0.722	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_261.jpg
173.733	1.053	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
175.1	0.969	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
176.384	1.001	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_136.jpg
177.701	1.068	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
179.085	1.001	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg
180.402	0.802	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
181.519	1.335	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
183.17	1.085	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
191.79	0.846	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg
192.94	0.679	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg
193.924	0.835	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg
195.074	0.835	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg
196.224	0.661	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg
197.192	0.835	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg
198.342	0.785	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg
199.442	0.776	tomspunt	open mouth?	how_face	yes	no	incorrect	task-tomspunt/F_584.jpg
209.313	1.155	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg
210.78	0.985	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_776.jpg
212.08	1.704	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg
214.098	0.754	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg
215.165	0.936	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg
216.415	0.703	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg
217.432	1.003	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg
218.75	0.919	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg
227.536	1.152	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg
229.003	1.086	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg
230.404	0.735	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg
231.454	0.865	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg
232.621	0.835	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_012.jpg
233.772	1.052	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg
235.139	0.763	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg
236.206	0.902	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg
245.059	1.336	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_474.jpg
246.71	0.975	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
247.994	1.191	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
249.494	1.085	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
250.895	0.901	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
252.112	0.789	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
253.212	1.039	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
254.563	0.839	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
263.85	0.886	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg
