onset	duration	subtask_type	event_type	value	response_accuracy	stim_file_TODO	participant_response	reaction_time
7.92	1.034	memory	dummy	study_dummy	n/a	task-memory/obj038broom.png	n/a	n/a
9.971	1.034	memory	dummy	study_dummy	n/a	task-memory/obj104fish.png	n/a	n/a
12.022	1.034	memory	dummy	study_dummy	n/a	task-memory/obj205pan.png	n/a	n/a
14.072	1.034	memory	study	study	n/a	task-memory/obj159knot.png	n/a	n/a
16.123	1.034	memory	study	study	n/a	task-memory/obj231pumpkin.png	n/a	n/a
18.174	1.017	memory	study	study	n/a	task-memory/obj072crab.png	n/a	n/a
20.225	1.017	memory	study	study	n/a	task-memory/obj203paintbrush.png	n/a	n/a
22.275	1.017	memory	study	study	n/a	task-memory/obj255sailor.png	n/a	n/a
24.326	1.017	memory	study	study	n/a	task-memory/obj157knife.png	n/a	n/a
26.36	1.017	memory	study	study	n/a	task-memory/obj130hammock.png	n/a	n/a
28.394	1.017	memory	study	study	n/a	task-memory/obj086door.png	n/a	n/a
30.428	1.017	memory	study	study	n/a	task-memory/obj238rain.png	n/a	n/a
32.463	1.017	memory	study	study	n/a	task-memory/obj077deer.png	n/a	n/a
34.497	1.017	memory	study	study	n/a	task-memory/obj207pants.png	n/a	n/a
36.531	1.017	memory	study	study	n/a	task-memory/obj202package.png	n/a	n/a
38.565	1.017	memory	study	study	n/a	task-memory/obj061church.png	n/a	n/a
40.599	1.017	memory	study	study	n/a	task-memory/obj110football.png	n/a	n/a
42.633	1.017	memory	study	study	n/a	task-memory/obj161lamp.png	n/a	n/a
44.667	1.017	memory	study	study	n/a	task-memory/obj346yoyo.png	n/a	n/a
46.701	1.017	memory	study	study	n/a	task-memory/obj119girl.png	n/a	n/a
48.735	1.017	memory	study	study	n/a	task-memory/obj181microphone.png	n/a	n/a
50.769	1.017	memory	study	study	n/a	task-memory/obj001accordion.png	n/a	n/a
52.803	1.017	memory	study	study	n/a	task-memory/obj051car.png	n/a	n/a
54.838	1.017	memory	dummy	study_dummy	n/a	task-memory/obj211peanut.png	n/a	n/a
56.872	1.017	memory	dummy	study_dummy	n/a	task-memory/obj251rose.png	n/a	n/a
58.906	1.034	memory	dummy	study_dummy	n/a	task-memory/obj252ruler.png	n/a	n/a
71.044	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.104	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.165	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.225	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.704	1.541	memory	test	test_new	correct	task-memory/obj042cactus.png	new	n/a
191.655	0.926	memory	test	test_new	correct	task-memory/obj141hoof.png	new	n/a
194.523	1.111	memory	test	test_new	correct	task-memory/obj034bowl.png	new	n/a
197.124	1.563	memory	test	test_new	correct	task-memory/obj293table.png	new	n/a
