onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.926	1.034	memory	dummy	study_dummy	n/a	task-memory/obj022bell.png	n/a	n/a
9.976	1.017	memory	dummy	study_dummy	n/a	task-memory/obj030bone.png	n/a	n/a
12.027	1.017	memory	dummy	study_dummy	n/a	task-memory/obj045camel.png	n/a	n/a
14.078	1.017	memory	study	study	n/a	task-memory/obj313trophy.png	n/a	n/a
16.129	1.017	memory	study	study	n/a	task-memory/obj073crackers.png	n/a	n/a
18.179	1.017	memory	study	study	n/a	task-memory/obj259scarf.png	n/a	n/a
20.214	1.017	memory	study	study	n/a	task-memory/obj069corn.png	n/a	n/a
22.248	1.017	memory	study	study	n/a	task-memory/obj277snake.png	n/a	n/a
24.282	1.017	memory	study	study	n/a	task-memory/obj332well.png	n/a	n/a
26.316	1.017	memory	study	study	n/a	task-memory/obj310tractor.png	n/a	n/a
28.35	1.017	memory	study	study	n/a	task-memory/obj214pencil.png	n/a	n/a
30.384	1.017	memory	study	study	n/a	task-memory/obj274slide.png	n/a	n/a
32.418	1.017	memory	study	study	n/a	task-memory/obj226plate.png	n/a	n/a
34.452	1.017	memory	study	study	n/a	task-memory/obj327volcano.png	n/a	n/a
36.486	1.017	memory	study	study	n/a	task-memory/obj260scissors.png	n/a	n/a
38.52	1.017	memory	study	study	n/a	task-memory/obj154key.png	n/a	n/a
40.554	1.017	memory	study	study	n/a	task-memory/obj192nail.png	n/a	n/a
42.589	1.017	memory	study	study	n/a	task-memory/obj092ear.png	n/a	n/a
44.623	1.017	memory	study	study	n/a	task-memory/obj141hoof.png	n/a	n/a
46.657	1.034	memory	study	study	n/a	task-memory/obj336wheelchair.png	n/a	n/a
48.707	1.034	memory	study	study	n/a	task-memory/obj306toilet.png	n/a	n/a
50.758	1.017	memory	study	study	n/a	task-memory/obj303tiger.png	n/a	n/a
52.809	1.017	memory	study	study	n/a	task-memory/obj224pitchfork.png	n/a	n/a
54.843	1.017	memory	dummy	study_dummy	n/a	task-memory/obj163leaf.png	n/a	n/a
56.894	1.017	memory	dummy	study_dummy	n/a	task-memory/obj193needle.png	n/a	n/a
58.928	1.017	memory	dummy	study_dummy	n/a	task-memory/obj325vest.png	n/a	n/a
71.049	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.11	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.17	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.231	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.91	1.514	memory	test	test_old	correct	task-memory/obj226plate.png	old	n/a
191.994	0.734	memory	test	test_old	correct	task-memory/obj259scarf.png	old	n/a
194.995	0.775	memory	test	test_old	correct	task-memory/obj224pitchfork.png	old	n/a
197.713	0.968	memory	test	test_new	correct	task-memory/obj283spider.png	new	n/a
200.647	1.393	memory	test	test_new	correct	task-memory/obj132hanger.png	new	n/a
203.632	0.717	memory	test	test_old	correct	task-memory/obj327volcano.png	old	n/a
206.65	0.955	memory	test	test_new	correct	task-memory/obj219pillow.png	new	n/a
209.401	0.737	memory	test	test_old	correct	task-memory/obj092ear.png	old	n/a
212.218	0.7	memory	test	test_old	correct	task-memory/obj277snake.png	old	n/a
214.919	0.783	memory	test	test_new	correct	task-memory/obj031book.png	new	n/a
217.754	0.863	memory	test	test_new	correct	task-memory/obj002acorn.png	new	n/a
220.422	0.971	memory	test	test_new	correct	task-memory/obj105flag.png	new	n/a
223.273	0.76	memory	test	test_old	correct	task-memory/obj313trophy.png	old	n/a
225.99	0.889	memory	test	test_new	correct	task-memory/obj127hair.png	new	n/a
228.858	1.157	memory	test	test_new	correct	task-memory/obj169lips.png	new	n/a
231.692	0.705	memory	test	test_old	correct	task-memory/obj310tractor.png	old	n/a
234.26	0.993	memory	test	test_old	correct	task-memory/obj073crackers.png	old	n/a
237.061	0.966	memory	test	test_new	correct	task-memory/obj099faucet.png	new	n/a
239.912	0.902	memory	test	test_new	correct	task-memory/obj218pig.png	new	n/a
