onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
0.078	2.034	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.022	1.235	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	1
6.573	1.143	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	2
8.023	0.769	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	3
9.107	0.942	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	4
10.357	0.776	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	5
11.441	0.658	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	6
12.408	0.752	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	7
13.475	0.635	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	8
17.851	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.862	0.503	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	9
23.679	0.619	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	10
24.613	0.619	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	11
25.546	0.652	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	12
26.513	0.636	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	13
27.464	0.702	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	14
28.481	0.701	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	15
29.498	1.035	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	16
36.908	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.919	1.363	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	17
