onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
3.834	1.318	face	n/a	age	surprise	female	WC	old	task-faces/2Surprise_Model1_1Female_1WC_2Old.mp4
5.152	1.571	rating	0.466	age	surprise	female	WC	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	surprise	female	WC	old	n/a
7.211	1.309	face	n/a	age	surprise	male	WC	young	task-faces/2Surprise_Model2_2Male_1WC_1Young.mp4
8.52	0.953	rating	0.3487	age	surprise	male	WC	young	n/a
8.753	0.72	rating_mouse_trajectory	0.3487	age	surprise	male	WC	young	n/a
10.461	1.31	face	n/a	age	sad	male	EA	old	task-faces/6Sad_Model3_2Male_2EA_2Old.mp4
11.771	1.752	rating	0.5105	age	sad	male	EA	old	n/a
11.821	1.702	rating_mouse_trajectory	0.5105	age	sad	male	EA	old	n/a
14.695	2.044	face	n/a	age	pleasure	male	WC	young	task-faces/8Pleasure_Model2_2Male_1WC_1Young.mp4
16.739	1.118	rating	0.4458	age	pleasure	male	WC	young	n/a
17.156	0.702	rating_mouse_trajectory	0.4458	age	pleasure	male	WC	young	n/a
18.67	1.321	face	n/a	age	happy	female	EA	old	task-faces/1Happy_Model2_1Female_2EA_2Old.mp4
19.991	1.738	rating	0.644	age	happy	female	EA	old	n/a
20.424	1.305	rating_mouse_trajectory	0.644	age	happy	female	EA	old	n/a
25.932	1.311	face	n/a	age	sad	female	EA	old	task-faces/6Sad_Model2_1Female_2EA_2Old.mp4
27.243	1.479	rating	0.4357	age	sad	female	EA	old	n/a
27.777	0.946	rating_mouse_trajectory	0.4357	age	sad	female	EA	old	n/a
29.166	1.312	face	n/a	age	sad	female	WC	old	task-faces/6Sad_Model3_1Female_1WC_2Old.mp4
30.478	1.545	rating	0.5388	age	sad	female	WC	old	n/a
30.994	1.028	rating_mouse_trajectory	0.5388	age	sad	female	WC	old	n/a
32.384	2.046	face	n/a	age	pleasure	male	WC	old	task-faces/8Pleasure_Model1_2Male_1WC_2Old.mp4
34.429	1.552	rating	0.4033	age	pleasure	male	WC	old	n/a
34.996	0.985	rating_mouse_trajectory	0.4033	age	pleasure	male	WC	old	n/a
36.344	2.037	face	n/a	age	pleasure	male	African	old	task-faces/8Pleasure_Model5_2Male_3African_2Old.mp4
38.381	0.492	rating	0.466	age	pleasure	male	African	old	n/a
n/a	n/a	rating_mouse_trajectory	0.466	age	pleasure	male	African	old	n/a
40.31	2.039	face	n/a	age	pain	female	WC	young	task-faces/7Pain_Model3_1Female_1WC_1Young.mp4
42.349	0.783	rating	0.5854	age	pain	female	WC	young	n/a
42.816	0.317	rating_mouse_trajectory	0.5854	age	pain	female	WC	young	n/a
46.272	1.312	face	n/a	age	fear	female	African	old	task-faces/3Fear_Model4_1Female_3African_2Old.mp4
47.584	1.6	rating	0.4337	age	fear	female	African	old	n/a
48.018	1.167	rating_mouse_trajectory	0.4337	age	fear	female	African	old	n/a
50.511	2.042	face	n/a	age	pain	male	WC	old	task-faces/7Pain_Model5_2Male_1WC_2Old.mp4
52.553	1.47	rating	0.644	age	pain	male	WC	old	n/a
52.636	1.386	rating_mouse_trajectory	0.644	age	pain	male	WC	old	n/a
