onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file
7.82	12.645	narrative_presentation	n/a	n/a	Enmity-of-kin	prison	Audio	task-narratives/Narrative5Situation1.mp3
20.466	2.776	rating_feeling	1038	535	Enmity-of-kin	prison	Audio	n/a
21.349	1.892	feeling_mouse_trajectory	1038	535	Enmity-of-kin	prison	Audio	n/a
24.492	1.908	rating_expectation	786	523	Enmity-of-kin	prison	Audio	n/a
25.592	0.808	expectation_mouse_trajectory	786	523	Enmity-of-kin	prison	Audio	n/a
31.545	28.111	narrative_presentation	n/a	n/a	All-sacrificed-for-passion	prison	Audio	task-narratives/Narrative5Situation2.mp3
59.656	2.001	rating_feeling	810	603	All-sacrificed-for-passion	prison	Audio	n/a
59.94	1.718	feeling_mouse_trajectory	810	603	All-sacrificed-for-passion	prison	Audio	n/a
63.688	3.635	rating_expectation	823	598	All-sacrificed-for-passion	prison	Audio	n/a
64.254	3.068	expectation_mouse_trajectory	823	598	All-sacrificed-for-passion	prison	Audio	n/a
70.743	13.31	narrative_presentation	n/a	n/a	Discovery-of-dishonour-of-loved-one	prison	Audio	task-narratives/Narrative5Situation3.mp3
84.053	2.87	rating_feeling	832	575	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
85.203	1.72	feeling_mouse_trajectory	832	575	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
88.081	1.134	rating_expectation	791	568	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
88.447	0.767	expectation_mouse_trajectory	791	568	Discovery-of-dishonour-of-loved-one	prison	Audio	n/a
93.134	20.147	narrative_presentation	n/a	n/a	Crimes-of-love	park	Audio	task-narratives/Narrative5Situation4.mp3
113.282	2.858	rating_feeling	950	604	Crimes-of-love	park	Audio	n/a
114.132	2.008	feeling_mouse_trajectory	950	604	Crimes-of-love	park	Audio	n/a
117.309	1.24	rating_expectation	788	594	Crimes-of-love	park	Audio	n/a
117.659	0.89	expectation_mouse_trajectory	788	594	Crimes-of-love	park	Audio	n/a
126.381	14.111	narrative_presentation	n/a	n/a	Necessity-of-sacrificing-loved-ones	park	Audio	task-narratives/Narrative5Situation5.mp3
140.492	2.484	rating_feeling	752	530	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
141.509	1.468	feeling_mouse_trajectory	752	530	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
144.518	3.635	rating_expectation	731	529	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
145.618	2.535	expectation_mouse_trajectory	731	529	Necessity-of-sacrificing-loved-ones	park	Audio	n/a
151.573	5.483	narrative_presentation	n/a	n/a	Adultery	park	Audio	task-narratives/Narrative5Situation6.mp3
157.056	2.592	rating_feeling	1181	508	Adultery	park	Audio	n/a
157.573	2.075	feeling_mouse_trajectory	1181	508	Adultery	park	Audio	n/a
161.091	1.807	rating_expectation	881	538	Adultery	park	Audio	n/a
161.774	1.123	expectation_mouse_trajectory	881	538	Adultery	park	Audio	n/a
169.146	20.814	narrative_presentation	n/a	n/a	Revolt	beach	Audio	task-narratives/Narrative5Situation7.mp3
189.96	3.735	rating_feeling	989	459	Revolt	beach	Audio	n/a
191.427	2.268	feeling_mouse_trajectory	989	459	Revolt	beach	Audio	n/a
193.987	1.484	rating_expectation	812	557	Revolt	beach	Audio	n/a
194.57	0.901	expectation_mouse_trajectory	812	557	Revolt	beach	Audio	n/a
201.041	7.283	narrative_presentation	n/a	n/a	An-enemy-loved	beach	Audio	task-narratives/Narrative5Situation8.mp3
208.323	3.989	rating_feeling	718	522	An-enemy-loved	beach	Audio	n/a
208.69	3.622	feeling_mouse_trajectory	718	522	An-enemy-loved	beach	Audio	n/a
212.364	1.638	rating_expectation	761	537	An-enemy-loved	beach	Audio	n/a
213.28	0.721	expectation_mouse_trajectory	761	537	An-enemy-loved	beach	Audio	n/a
219.417	37.955	narrative_presentation	n/a	n/a	Mistaken-jealousy	beach	Audio	task-narratives/Narrative5Situation9.mp3
257.372	2.975	rating_feeling	1082	549	Mistaken-jealousy	beach	Audio	n/a
257.822	2.525	feeling_mouse_trajectory	1082	549	Mistaken-jealousy	beach	Audio	n/a
261.397	2.319	rating_expectation	1110	577	Mistaken-jealousy	beach	Audio	n/a
261.814	1.903	expectation_mouse_trajectory	1110	577	Mistaken-jealousy	beach	Audio	n/a
267.467	25.982	narrative_presentation	n/a	n/a	Recovery-of-a-lost-one	town	Audio	task-narratives/Narrative6Situation1.mp3
293.449	1.241	rating_feeling	821	549	Recovery-of-a-lost-one	town	Audio	n/a
293.532	1.157	feeling_mouse_trajectory	821	549	Recovery-of-a-lost-one	town	Audio	n/a
297.475	3.989	rating_expectation	955	500	Recovery-of-a-lost-one	town	Audio	n/a
298.392	3.073	expectation_mouse_trajectory	955	500	Recovery-of-a-lost-one	town	Audio	n/a
304.547	27.984	narrative_presentation	n/a	n/a	The-enigma	town	Audio	task-narratives/Narrative6Situation2.mp3
332.531	1.826	rating_feeling	1173	506	The-enigma	town	Audio	n/a
332.864	1.493	feeling_mouse_trajectory	1173	506	The-enigma	town	Audio	n/a
336.556	1.925	rating_expectation	1118	606	The-enigma	town	Audio	n/a
336.99	1.491	expectation_mouse_trajectory	1118	606	The-enigma	town	Audio	n/a
345.629	11.977	narrative_presentation	n/a	n/a	Revolt	town	Audio	task-narratives/Narrative6Situation3.mp3
357.605	1.651	rating_feeling	791	524	Revolt	town	Audio	n/a
358.539	0.717	feeling_mouse_trajectory	791	524	Revolt	town	Audio	n/a
361.632	2.018	rating_expectation	712	532	Revolt	town	Audio	n/a
362.082	1.568	expectation_mouse_trajectory	712	532	Revolt	town	Audio	n/a
367.687	11.974	narrative_presentation	n/a	n/a	Loss-of-loved-one	swamp	Audio	task-narratives/Narrative6Situation4.mp3
379.661	1.734	rating_feeling	779	540	Loss-of-loved-one	swamp	Audio	n/a
380.494	0.901	feeling_mouse_trajectory	779	540	Loss-of-loved-one	swamp	Audio	n/a
383.697	2.068	rating_expectation	759	537	Loss-of-loved-one	swamp	Audio	n/a
384.114	1.651	expectation_mouse_trajectory	759	537	Loss-of-loved-one	swamp	Audio	n/a
389.779	7.309	narrative_presentation	n/a	n/a	An-enemy-loved	swamp	Audio	task-narratives/Narrative6Situation5.mp3
397.088	1.635	rating_feeling	775	582	An-enemy-loved	swamp	Audio	n/a
397.855	0.869	feeling_mouse_trajectory	775	582	An-enemy-loved	swamp	Audio	n/a
401.114	1.467	rating_expectation	728	551	An-enemy-loved	swamp	Audio	n/a
401.514	1.067	expectation_mouse_trajectory	728	551	An-enemy-loved	swamp	Audio	n/a
407.168	10.813	narrative_presentation	n/a	n/a	Daring-Enterprise	swamp	Audio	task-narratives/Narrative6Situation6.mp3
417.981	1.167	rating_feeling	691	469	Daring-Enterprise	swamp	Audio	n/a
418.248	0.901	feeling_mouse_trajectory	691	469	Daring-Enterprise	swamp	Audio	n/a
422.005	1.56	rating_expectation	657	470	Daring-Enterprise	swamp	Audio	n/a
422.438	1.126	expectation_mouse_trajectory	657	470	Daring-Enterprise	swamp	Audio	n/a
431.061	23.284	narrative_presentation	n/a	n/a	Self-sacrifice-for-kin	city	Audio	task-narratives/Narrative6Situation7.mp3
454.344	3.968	rating_feeling	852	582	Self-sacrifice-for-kin	city	Audio	n/a
454.778	3.535	feeling_mouse_trajectory	852	582	Self-sacrifice-for-kin	city	Audio	n/a
458.369	0.034	rating_expectation	960	707	Self-sacrifice-for-kin	city	Audio	n/a
458.419	-0.016	expectation_mouse_trajectory	960	707	Self-sacrifice-for-kin	city	Audio	n/a
