onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
3.862	1.328	face	n/a	sex	happy	male	WC	old	task-faces/1Happy_Model3_2Male_1WC_2Old.mp4
5.19	1.44	rating	0.0	sex	happy	male	WC	old	n/a
6.006	0.624	rating_mouse_trajectory	0.0	sex	happy	male	WC	old	n/a
7.209	2.065	face	n/a	sex	pleasure	female	EA	young	task-faces/8Pleasure_Model1_1Female_2EA_1Young.mp4
9.274	0.77	rating	0.8503	sex	pleasure	female	EA	young	n/a
9.591	0.453	rating_mouse_trajectory	0.8503	sex	pleasure	female	EA	young	n/a
11.216	1.327	face	n/a	sex	disgust	male	African	old	task-faces/4Disgust_Model5_2Male_3African_2Old.mp4
12.542	0.703	rating	0.0	sex	disgust	male	African	old	n/a
12.842	0.403	rating_mouse_trajectory	0.0	sex	disgust	male	African	old	n/a
15.466	2.044	face	n/a	sex	pain	male	WC	old	task-faces/7Pain_Model2_2Male_1WC_2Old.mp4
17.511	0.535	rating	0.0	sex	pain	male	WC	old	n/a
17.561	0.485	rating_mouse_trajectory	0.0	sex	pain	male	WC	old	n/a
19.433	1.346	face	n/a	sex	anger	male	African	old	task-faces/5Anger_Model3_2Male_3African_2Old.mp4
20.779	0.651	rating	0.0	sex	anger	male	African	old	n/a
20.812	0.618	rating_mouse_trajectory	0.0	sex	anger	male	African	old	n/a
26.719	1.312	face	n/a	sex	happy	male	African	young	task-faces/1Happy_Model1_2Male_3African_1Young.mp4
28.031	1.7	rating	0.4094	sex	happy	male	African	young	n/a
28.831	0.9	rating_mouse_trajectory	0.4094	sex	happy	male	African	young	n/a
29.954	1.312	face	n/a	sex	disgust	male	African	young	task-faces/4Disgust_Model1_2Male_3African_1Young.mp4
31.266	1.085	rating	0.646	sex	disgust	male	African	young	n/a
31.699	0.652	rating_mouse_trajectory	0.646	sex	disgust	male	African	young	n/a
33.172	1.311	face	n/a	sex	fear	male	African	old	task-faces/3Fear_Model1_2Male_3African_2Old.mp4
34.484	0.968	rating	0.0676	sex	fear	male	African	old	n/a
34.634	0.818	rating_mouse_trajectory	0.0676	sex	fear	male	African	old	n/a
36.399	1.32	face	n/a	sex	fear	female	African	young	task-faces/3Fear_Model2_1Female_3African_1Young.mp4
37.718	0.902	rating	0.7371	sex	fear	female	African	young	n/a
38.102	0.518	rating_mouse_trajectory	0.7371	sex	fear	female	African	young	n/a
39.641	1.312	face	n/a	sex	happy	male	EA	young	task-faces/1Happy_Model1_2Male_2EA_1Young.mp4
40.953	0.924	rating	0.2091	sex	happy	male	EA	young	n/a
41.236	0.641	rating_mouse_trajectory	0.2091	sex	happy	male	EA	young	n/a
44.877	1.328	face	n/a	sex	fear	male	WC	old	task-faces/3Fear_Model3_2Male_1WC_2Old.mp4
46.205	0.539	rating	0.0	sex	fear	male	WC	old	n/a
46.288	0.456	rating_mouse_trajectory	0.0	sex	fear	male	WC	old	n/a
49.133	2.057	face	n/a	sex	pain	female	African	young	task-faces/7Pain_Model4_1Female_3African_1Young.mp4
51.19	1.204	rating	0.7714	sex	pain	female	African	young	n/a
51.507	0.887	rating_mouse_trajectory	0.7714	sex	pain	female	African	young	n/a
55.103	2.056	face	n/a	sex	pain	male	African	young	task-faces/7Pain_Model3_2Male_3African_1Young.mp4
57.159	1.002	rating	0.0	sex	pain	male	African	young	n/a
57.326	0.835	rating_mouse_trajectory	0.0	sex	pain	male	African	young	n/a
60.065	1.329	face	n/a	sex	disgust	female	WC	young	task-faces/4Disgust_Model2_1Female_1WC_1Young.mp4
61.394	1.535	rating	0.004	sex	disgust	female	WC	young	n/a
61.727	1.202	rating_mouse_trajectory	0.004	sex	disgust	female	WC	young	n/a
64.3	2.046	face	n/a	sex	pain	male	WC	young	task-faces/7Pain_Model4_2Male_1WC_1Young.mp4
66.346	0.668	rating	0.0	sex	pain	male	WC	young	n/a
66.562	0.451	rating_mouse_trajectory	0.0	sex	pain	male	WC	young	n/a
69.266	2.049	face	n/a	sex	pain	male	African	old	task-faces/7Pain_Model1_2Male_3African_2Old.mp4
71.314	1.868	rating	0.1485	sex	pain	male	African	old	n/a
71.964	1.218	rating_mouse_trajectory	0.1485	sex	pain	male	African	old	n/a
74.232	1.334	face	n/a	sex	surprise	male	EA	young	task-faces/2Surprise_Model4_2Male_2EA_1Young.mp4
75.566	0.818	rating	0.1748	sex	surprise	male	EA	young	n/a
75.849	0.535	rating_mouse_trajectory	0.1748	sex	surprise	male	EA	young	n/a
78.483	1.335	face	n/a	sex	fear	female	WC	young	task-faces/3Fear_Model5_1Female_1WC_1Young.mp4
79.817	1.443	rating	0.5995	sex	fear	female	WC	young	n/a
80.484	0.776	rating_mouse_trajectory	0.5995	sex	fear	female	WC	young	n/a
84.725	1.328	face	n/a	sex	surprise	female	EA	old	task-faces/2Surprise_Model3_1Female_2EA_2Old.mp4
86.053	1.708	rating	0.282	sex	surprise	female	EA	old	n/a
