onset	duration	trial_type	response_x	response_y	situation	context	modality	stim_file_TODO
4.864	22.446	narrative_presentation	n/a	n/a	Conflict with a god	swamp	Text	task-narratives/Narrative4Situation1.txt
27.31	2.883	rating_feeling	933.0	598.0	Conflict with a god	swamp	Text	n/a
28.11	2.083	feeling_mouse_trajectory	933.0	598.0	Conflict with a god	swamp	Text	n/a
31.41	3.8	rating_expectation	886.0	470.0	Conflict with a god	swamp	Text	n/a
33.51	1.7	expectation_mouse_trajectory	886.0	470.0	Conflict with a god	swamp	Text	n/a
40.494	24.797	narrative_presentation	n/a	n/a	Adultery	swamp	Text	task-narratives/Narrative4Situation2.txt
65.291	2.85	rating_feeling	930.0	465.0	Adultery	swamp	Text	n/a
66.507	1.633	feeling_mouse_trajectory	930.0	465.0	Adultery	swamp	Text	n/a
69.307	1.933	rating_expectation	747.0	592.0	Adultery	swamp	Text	n/a
69.424	1.817	expectation_mouse_trajectory	747.0	592.0	Adultery	swamp	Text	n/a
75.373	21.114	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	swamp	Text	task-narratives/Narrative4Situation3.txt
96.488	3.833	rating_feeling	601.0	513.0	Slaying of kin unrecognized	swamp	Text	n/a
99.004	1.317	feeling_mouse_trajectory	601.0	513.0	Slaying of kin unrecognized	swamp	Text	n/a
100.502	2.333	rating_expectation	654.0	479.0	Slaying of kin unrecognized	swamp	Text	n/a
101.252	1.583	expectation_mouse_trajectory	654.0	479.0	Slaying of kin unrecognized	swamp	Text	n/a
105.585	21.113	narrative_presentation	n/a	n/a	Fatal imprudence	hospital	Text	task-narratives/Narrative4Situation4.txt
126.697	2.617	rating_feeling	779.0	504.0	Fatal imprudence	hospital	Text	n/a
127.514	1.8	feeling_mouse_trajectory	779.0	504.0	Fatal imprudence	hospital	Text	n/a
130.719	1.733	rating_expectation	708.0	564.0	Fatal imprudence	hospital	Text	n/a
131.335	1.117	expectation_mouse_trajectory	708.0	564.0	Fatal imprudence	hospital	Text	n/a
135.812	25.8	narrative_presentation	n/a	n/a	Erroneous judgement	hospital	Text	task-narratives/Narrative4Situation5.txt
161.613	2.3	rating_feeling	755.0	553.0	Erroneous judgement	hospital	Text	n/a
162.446	1.467	feeling_mouse_trajectory	755.0	553.0	Erroneous judgement	hospital	Text	n/a
165.626	1.167	rating_expectation	848.0	553.0	Erroneous judgement	hospital	Text	n/a
165.743	1.05	expectation_mouse_trajectory	848.0	553.0	Erroneous judgement	hospital	Text	n/a
170.709	23.445	narrative_presentation	n/a	n/a	Necessity of sacrificing loved ones	hospital	Text	task-narratives/Narrative4Situation6.txt
194.154	3.583	rating_feeling	969.0	512.0	Necessity of sacrificing loved ones	hospital	Text	n/a
195.021	2.717	feeling_mouse_trajectory	969.0	512.0	Necessity of sacrificing loved ones	hospital	Text	n/a
198.171	3.867	rating_expectation	827.0	456.0	Necessity of sacrificing loved ones	hospital	Text	n/a
198.271	3.767	expectation_mouse_trajectory	827.0	456.0	Necessity of sacrificing loved ones	hospital	Text	n/a
203.238	19.093	narrative_presentation	n/a	n/a	Recovery of a lost one	prison	Text	task-narratives/Narrative4Situation7.txt
222.331	3.0	rating_feeling	885.0	489.0	Recovery of a lost one	prison	Text	n/a
223.098	2.233	feeling_mouse_trajectory	885.0	489.0	Recovery of a lost one	prison	Text	n/a
226.352	2.45	rating_expectation	900.0	445.0	Recovery of a lost one	prison	Text	n/a
226.736	2.067	expectation_mouse_trajectory	900.0	445.0	Recovery of a lost one	prison	Text	n/a
231.415	38.534	narrative_presentation	n/a	n/a	Crimes of love	prison	Text	task-narratives/Narrative4Situation8.txt
269.949	3.167	rating_feeling	842.0	528.0	Crimes of love	prison	Text	n/a
270.549	2.567	feeling_mouse_trajectory	842.0	528.0	Crimes of love	prison	Text	n/a
273.969	1.883	rating_expectation	964.0	565.0	Crimes of love	prison	Text	n/a
274.402	1.45	expectation_mouse_trajectory	964.0	565.0	Crimes of love	prison	Text	n/a
283.034	12.391	narrative_presentation	n/a	n/a	Abduction	prison	Text	task-narratives/Narrative4Situation9.txt
295.425	1.617	rating_feeling	796.0	496.0	Abduction	prison	Text	n/a
296.242	0.8	feeling_mouse_trajectory	796.0	496.0	Abduction	prison	Text	n/a
299.442	1.717	rating_expectation	781.0	518.0	Abduction	prison	Text	n/a
299.809	1.35	expectation_mouse_trajectory	781.0	518.0	Abduction	prison	Text	n/a
309.511	32.165	narrative_presentation	n/a	n/a	Slaying of kin unrecognized	town	Text	task-narratives/Narrative3Situation1.txt
341.676	3.817	rating_feeling	905.0	479.0	Slaying of kin unrecognized	town	Text	n/a
342.859	2.633	feeling_mouse_trajectory	905.0	479.0	Slaying of kin unrecognized	town	Text	n/a
345.693	2.817	rating_expectation	934.0	546.0	Slaying of kin unrecognized	town	Text	n/a
345.726	2.783	expectation_mouse_trajectory	934.0	546.0	Slaying of kin unrecognized	town	Text	n/a
353.777	17.094	narrative_presentation	n/a	n/a	Erroneous judgement	town	Text	task-narratives/Narrative3Situation2.txt
370.871	2.367	rating_feeling	956.0	520.0	Erroneous judgement	town	Text	n/a
372.254	0.983	feeling_mouse_trajectory	956.0	520.0	Erroneous judgement	town	Text	n/a
374.887	1.85	rating_expectation	888.0	503.0	Erroneous judgement	town	Text	n/a
375.97	0.767	expectation_mouse_trajectory	888.0	503.0	Erroneous judgement	town	Text	n/a
380.954	10.391	narrative_presentation	n/a	n/a	Revolt	town	Text	task-narratives/Narrative3Situation3.txt
391.345	2.083	rating_feeling	836.0	577.0	Revolt	town	Text	n/a
392.512	0.917	feeling_mouse_trajectory	836.0	577.0	Revolt	town	Text	n/a
395.361	1.95	rating_expectation	784.0	604.0	Revolt	town	Text	n/a
396.311	1.0	expectation_mouse_trajectory	784.0	604.0	Revolt	town	Text	n/a
400.444	28.147	narrative_presentation	n/a	n/a	The enigma	city	Text	task-narratives/Narrative3Situation4.txt
428.592	1.783	rating_feeling	746.0	517.0	The enigma	city	Text	n/a
429.125	1.25	feeling_mouse_trajectory	746.0	517.0	The enigma	city	Text	n/a
432.609	1.583	rating_expectation	940.0	535.0	The enigma	city	Text	n/a
433.159	1.033	expectation_mouse_trajectory	940.0	535.0	The enigma	city	Text	n/a
439.692	15.078	narrative_presentation	n/a	n/a	Deliverance	city	Text	task-narratives/Narrative3Situation5.txt
454.771	2.117	rating_feeling	953.0	528.0	Deliverance	city	Text	n/a
456.187	0.7	feeling_mouse_trajectory	953.0	528.0	Deliverance	city	Text	n/a
458.786	2.083	rating_expectation	971.0	500.0	Deliverance	city	Text	n/a
459.669	1.2	expectation_mouse_trajectory	971.0	500.0	Deliverance	city	Text	n/a
465.852	15.075	narrative_presentation	n/a	n/a	Remorse	city	Text	task-narratives/Narrative3Situation6.txt
480.928	3.75	rating_feeling	966.0	469.0	Remorse	city	Text	n/a
481.728	2.95	feeling_mouse_trajectory	966.0	469.0	Remorse	city	Text	n/a
484.952	2.133	rating_expectation	871.0	558.0	Remorse	city	Text	n/a
485.135	1.95	expectation_mouse_trajectory	871.0	558.0	Remorse	city	Text	n/a
493.046	36.85	narrative_presentation	n/a	n/a	Loss of loved one	forest	Text	task-narratives/Narrative3Situation7.txt
529.896	3.383	rating_feeling	886.0	547.0	Loss of loved one	forest	Text	n/a
531.596	1.683	feeling_mouse_trajectory	886.0	547.0	Loss of loved one	forest	Text	n/a
533.919	1.0	rating_expectation	972.0	531.0	Loss of loved one	forest	Text	n/a
534.786	0.133	expectation_mouse_trajectory	972.0	531.0	Loss of loved one	forest	Text	n/a
539.997	9.708	narrative_presentation	n/a	n/a	All sacrificed for passion	forest	Text	task-narratives/Narrative3Situation8.txt
549.705	n/a	rating_feeling	n/a	n/a	All sacrificed for passion	forest	Text	n/a
n/a	n/a	feeling_mouse_trajectory	n/a	n/a	All sacrificed for passion	forest	Text	n/a
553.72	0.983	rating_expectation	956.0	545.0	All sacrificed for passion	forest	Text	n/a
554.187	0.517	expectation_mouse_trajectory	956.0	545.0	All sacrificed for passion	forest	Text	n/a
558.787	27.484	narrative_presentation	n/a	n/a	Discovery of dishonour of loved one	forest	Text	task-narratives/Narrative3Situation9.txt
586.271	1.75	rating_feeling	780.0	533.0	Discovery of dishonour of loved one	forest	Text	n/a
587.237	0.783	feeling_mouse_trajectory	780.0	533.0	Discovery of dishonour of loved one	forest	Text	n/a
590.302	1.967	rating_expectation	702.0	534.0	Discovery of dishonour of loved one	forest	Text	n/a
591.452	0.817	expectation_mouse_trajectory	702.0	534.0	Discovery of dishonour of loved one	forest	Text	n/a
