onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file
2.822	3.216	cue	n/a	n/a	similarity	n/a	n/a
6.038	5.11	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-06_content-war.mp4
11.242	2.368	rating	5.15	Weak	similarity	n/a	n/a
11.992	1.618	rating_mouse_trajectory	5.15	Weak	similarity	n/a	n/a
16.405	6.677	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-02_content-HB.mp4
23.146	3.303	rating	5.45	Weak	similarity	n/a	n/a
23.963	2.486	rating_mouse_trajectory	5.45	Weak	similarity	n/a	n/a
28.248	6.836	video	n/a	n/a	similarity	n/a	task-shortvideos/ses-03_run-01_order-04_content-unefille.mp4
35.151	3.602	rating	14.38	Moderate	similarity	n/a	n/a
35.601	3.152	rating_mouse_trajectory	14.38	Moderate	similarity	n/a	n/a
40.186	3.121	cue	n/a	n/a	likeability	n/a	n/a
43.307	5.799	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-16_content-huggingpets.mp4
49.173	4.852	rating	37.11	Strong	likeability	n/a	n/a
50.406	3.619	rating_mouse_trajectory	37.11	Strong	likeability	n/a	n/a
54.651	6.848	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-04_content-unefille.mp4
61.577	2.388	rating	62.53	Strong	likeability	n/a	n/a
61.627	2.338	rating_mouse_trajectory	62.53	Strong	likeability	n/a	n/a
66.677	5.188	video	n/a	n/a	likeability	n/a	task-shortvideos/ses-03_run-01_order-09_content-knifegame.mp4
71.931	2.752	rating	41.58	Strong	likeability	n/a	n/a
72.831	1.852	rating_mouse_trajectory	41.58	Strong	likeability	n/a	n/a
76.95	3.129	cue	n/a	n/a	mentalizing	remember	n/a
80.079	5.224	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-10_content-captureflag.mp4
85.369	4.285	rating	21.09	Moderate	mentalizing	remember	n/a
86.803	2.852	rating_mouse_trajectory	21.09	Moderate	mentalizing	remember	n/a
90.474	5.566	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-11_content-menrunning.mp4
96.107	3.818	rating	29.96	Strong	mentalizing	remember	n/a
97.59	2.335	rating_mouse_trajectory	29.96	Strong	mentalizing	remember	n/a
101.187	5.507	video	n/a	n/a	mentalizing	remember	task-shortvideos/ses-03_run-01_order-15_content-giving.mp4
106.761	3.338	rating	89.75	Very strong	mentalizing	remember	n/a
107.111	2.988	rating_mouse_trajectory	89.75	Very strong	mentalizing	remember	n/a
