onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
9.96115207672119	0.2	posner	invalid_cue	correct	left	n/a		1
10.1778998374939	0.526466131210327	posner	target_response	correct	left	right	right	1
14.2460830211639	0.2	posner	valid_cue	correct	left	n/a		2
14.4461584091187	0.468205451965332	posner	target_response	correct	left	left	left	2
17.313894033432	0.2	posner	valid_cue	correct	left	n/a		3
17.5139691829681	0.395438671112061	posner	target_response	correct	left	left	left	3
20.2816677093506	0.2	posner	valid_cue	correct	right	n/a		4
20.4817409515381	0.444427967071533	posner	target_response	correct	right	right	right	4
23.4495153427124	0.2	posner	valid_cue	correct	right	n/a		5
23.6495900154114	0.41094183921814	posner	target_response	correct	right	right	right	5
28.2179605960846	0.2	posner	invalid_cue	correct	right	n/a		6
28.4180352687836	0.425129652023315	posner	target_response	correct	right	left	left	6
31.1857345104218	0.2	posner	valid_cue	correct	left	n/a		7
31.3858079910278	0.40435791015625	posner	target_response	correct	left	left	left	7
38.6551856994629	0.2	posner	valid_cue	correct	left	n/a		8
38.8552598953247	0.686913967132568	posner	target_response	correct	left	left	left	8
42.1231465339661	0.2	posner	valid_cue	correct	right	n/a		9
42.3232202529907	0.412542581558228	posner	target_response	correct	right	right	right	9
45.4910674095154	0.2	posner	invalid_cue	incorrect	right	n/a		10
45.6911432743073	n/a	posner	target_response	incorrect	right	left	n/a	10
50.2595138549805	0.2	posner	invalid_cue	correct	left	n/a		11
50.4595882892609	0.396833658218384	posner	target_response	correct	left	right	right	11
53.5273971557617	0.2	posner	valid_cue	correct	left	n/a		12
53.7274734973907	0.40672755241394	posner	target_response	correct	left	left	left	12
57.3955080509186	0.2	posner	valid_cue	correct	right	n/a		13
57.5955827236176	0.389548301696777	posner	target_response	correct	right	right	right	13
60.7634298801422	0.2	posner	valid_cue	correct	right	n/a		14
60.9635057449341	0.40962028503418	posner	target_response	correct	right	right	right	14
63.8312411308289	0.2	posner	valid_cue	incorrect	left	n/a		15
64.0313165187836	n/a	posner	target_response	incorrect	left	left	n/a	15
67.0991265773773	0.2	posner	valid_cue	incorrect	left	n/a		16
67.2992012500763	n/a	posner	target_response	incorrect	left	left	n/a	16
70.6671240329742	0.2	posner	valid_cue	correct	right	n/a		17
70.8671982288361	0.373874664306641	posner	target_response	correct	right	right	right	17
77.8364636898041	0.2	posner	invalid_cue	correct	left	n/a		18
78.0365395545959	0.430181503295898	posner	target_response	correct	left	right	right	18
82.304797410965	0.2	posner	invalid_cue	incorrect	left	n/a		19
82.5048711299896	n/a	posner	target_response	incorrect	left	right	n/a	19
91.6749579906464	0.2	posner	invalid_cue	correct	left	n/a		20
91.8750333786011	0.422367572784424	posner	target_response	correct	left	right	right	20
96.4434034824371	0.2	posner	invalid_cue	correct	left	n/a		21
96.6434786319733	0.460609197616577	posner	target_response	correct	left	right	right	21
101.411921977997	0.2	posner	invalid_cue	correct	right	n/a		22
101.611997365952	0.426258563995361	posner	target_response	correct	right	left	left	22
105.380069494247	0.2	posner	valid_cue	correct	left	n/a		23
105.580143690109	0.612263202667236	posner	target_response	correct	left	left	left	23
109.948440551758	0.2	posner	valid_cue	correct	left	n/a		24
110.148514986038	1.3436758518219	posner	target_response	correct	left	left	left	24
117.41789150238	0.2	posner	invalid_cue	correct	left	n/a		25
117.617965698242	0.776511192321777	posner	target_response	correct	left	right	right	25
120.485702037811	0.2	posner	valid_cue	correct	left	n/a		26
120.685777425766	0.445336580276489	posner	target_response	correct	left	left	left	26
123.553512811661	0.2	posner	valid_cue	correct	right	n/a		27
123.753588199615	0.468750715255737	posner	target_response	correct	right	right	right	27
128.522032022476	0.2	posner	invalid_cue	incorrect	left	n/a		28
128.722107172012	n/a	posner	target_response	incorrect	left	right	n/a	28
137.19193315506	0.2	posner	valid_cue	correct	right	n/a		29
137.392007350922	0.411612510681152	posner	target_response	correct	right	right	right	29
142.260489225388	0.2	posner	valid_cue	incorrect	right	n/a		30
142.460563898087	n/a	posner	target_response	incorrect	right	right	n/a	30
149.729942798615	0.2	posner	invalid_cue	incorrect	right	n/a		31
149.930015802383	n/a	posner	target_response	incorrect	right	left	n/a	31
153.397976160049	0.2	posner	valid_cue	correct	right	n/a		32
153.598049879074	0.405186176300049	posner	target_response	correct	right	right	right	32
156.365749120712	0.2	posner	valid_cue	correct	left	n/a		33
156.565824508667	0.432453393936157	posner	target_response	correct	left	left	left	33
161.334269285202	0.2	posner	invalid_cue	incorrect	right	n/a		34
161.534343719482	n/a	posner	target_response	incorrect	right	left	n/a	34
168.6036465168	0.2	posner	valid_cue	incorrect	right	n/a		35
168.80372095108	n/a	posner	target_response	incorrect	right	right	n/a	35
172.471756458282	0.2	posner	valid_cue	correct	left	n/a		36
172.671830177307	1.21536564826965	posner	target_response	correct	left	left	left	36
180.841543912888	0.2	posner	valid_cue	incorrect	right	n/a		37
181.041617631912	n/a	posner	target_response	incorrect	right	right	n/a	37
184.409541130066	0.2	posner	valid_cue	incorrect	left	n/a		38
184.609614849091	n/a	posner	target_response	incorrect	left	left	n/a	38
187.477350473404	0.2	posner	invalid_cue	incorrect	left	n/a		39
187.677426576614	n/a	posner	target_response	incorrect	left	right	n/a	39
194.546653985977	0.2	posner	invalid_cue	correct	right	n/a		40
194.746729135513	0.715166807174683	posner	target_response	correct	right	left	left	40
202.016107082367	0.2	posner	invalid_cue	incorrect	right	n/a		41
202.216181278229	n/a	posner	target_response	incorrect	right	left	n/a	41
207.1847012043	0.2	posner	invalid_cue	incorrect	right	n/a		42
207.384775161743	n/a	posner	target_response	incorrect	right	left	n/a	42
214.654153347015	0.2	posner	valid_cue	incorrect	right	n/a		43
214.854228496552	n/a	posner	target_response	incorrect	right	right	n/a	43
224.024314403534	0.2	posner	invalid_cue	incorrect	left	n/a		44
224.22438955307	n/a	posner	target_response	incorrect	left	right	n/a	44
229.092871189117	0.2	posner	valid_cue	correct	left	n/a		45
229.292946577072	0.24429726600647	posner	target_response	correct	left	left	left	45
236.062136888504	0.2	posner	invalid_cue	incorrect	left	n/a		46
236.262211084366	n/a	posner	target_response	incorrect	left	right	n/a	46
239.330022096634	0.2	posner	invalid_cue	correct	right	n/a		47
239.530095815659	0.317275047302246	posner	target_response	correct	right	left	left	47
242.597907543182	0.2	posner	invalid_cue	incorrect	right	n/a		48
242.797981977463	n/a	posner	target_response	incorrect	right	left	n/a	48
246.165905475616	0.2	posner	invalid_cue	correct	right	n/a		49
246.365978717804	1.78822422027588	posner	target_response	correct	right	left	left	49
249.83393907547	0.2	posner	valid_cue	incorrect	left	n/a		50
250.034014701843	n/a	posner	target_response	incorrect	left	left	n/a	50
254.802458286285	0.2	posner	invalid_cue	incorrect	right	n/a		51
255.002533197403	n/a	posner	target_response	incorrect	right	left	n/a	51
261.871761322021	0.2	posner	valid_cue	incorrect	right	n/a		52
262.071836233139	1.95835876464844	posner	target_response	incorrect	right	right	left	52
265.50644993782	0.2	posner	valid_cue	correct	right	n/a		53
265.706525564194	0.556078433990479	posner	target_response	correct	right	right	right	53
268.874372959137	0.2	posner	valid_cue	correct	left	n/a		54
269.074448108673	0.462619781494141	posner	target_response	correct	left	left	left	54
272.942557096481	0.2	posner	valid_cue	incorrect	left	n/a		55
273.142631530762	n/a	posner	target_response	incorrect	left	left	n/a	55
278.311225175858	0.2	posner	invalid_cue	incorrect	left	n/a		56
278.511300325394	n/a	posner	target_response	incorrect	left	right	n/a	56
285.78067779541	0.2	posner	valid_cue	incorrect	right	n/a		57
285.980753421783	1.09978151321411	posner	target_response	incorrect	right	right	left	57
290.048936367035	0.2	posner	valid_cue	incorrect	left	n/a		58
290.249011039734	n/a	posner	target_response	incorrect	left	left	n/a	58
295.317567110062	0.2	posner	invalid_cue	incorrect	right	n/a		59
295.517642021179	n/a	posner	target_response	incorrect	right	left	n/a	59
304.687728881836	0.2	posner	valid_cue	correct	left	n/a		60
304.887803316116	0.527628660202026	posner	target_response	correct	left	left	left	60
310.856696128845	0.2	posner	valid_cue	incorrect	right	n/a		61
311.056771039963	n/a	posner	target_response	incorrect	right	right	n/a	61
314.124581336975	0.2	posner	invalid_cue	incorrect	left	n/a		62
314.324656009674	n/a	posner	target_response	incorrect	left	right	n/a	62
318.792989253998	0.2	posner	invalid_cue	correct	right	n/a		63
318.993063926697	0.515160083770752	posner	target_response	correct	right	left	left	63
322.260947704315	0.2	posner	valid_cue	correct	right	n/a		64
322.461023569107	1.67515635490417	posner	target_response	correct	right	right	right	64
329.313579082489	0.2	posner	invalid_cue	correct	right	n/a		65
329.513653516769	1.35572838783264	posner	target_response	correct	right	left	left	65
335.78265786171	0.2	posner	invalid_cue	correct	left	n/a		66
335.982733011246	0.598423957824707	posner	target_response	correct	left	right	right	66
343.252110004425	0.2	posner	valid_cue	incorrect	right	n/a		67
343.452185153961	n/a	posner	target_response	incorrect	right	right	n/a	67
350.221376180649	0.2	posner	invalid_cue	incorrect	left	n/a		68
350.421450138092	n/a	posner	target_response	incorrect	left	right	n/a	68
353.689336299896	0.2	posner	invalid_cue	incorrect	left	n/a		69
353.889410257339	n/a	posner	target_response	incorrect	left	right	n/a	69
358.657855510712	0.2	posner	invalid_cue	correct	right	n/a		70
358.857929944992	1.06250095367432	posner	target_response	correct	right	left	left	70
362.325891256332	0.2	posner	invalid_cue	correct	right	n/a		71
362.525964260101	0.600240707397461	posner	target_response	correct	right	left	left	71
370.495603561401	0.2	posner	invalid_cue	incorrect	right	n/a		72
370.695677995682	n/a	posner	target_response	incorrect	right	left	n/a	72
373.46337723732	0.2	posner	invalid_cue	correct	left	n/a		73
373.663451194763	0.537679672241211	posner	target_response	correct	left	right	right	73
379.032119989395	0.2	posner	invalid_cue	incorrect	left	n/a		74
379.232194423676	n/a	posner	target_response	incorrect	left	right	n/a	74
382.800192117691	0.2	posner	valid_cue	incorrect	left	n/a		75
383.000267267227	n/a	posner	target_response	incorrect	left	left	n/a	75
386.068077802658	0.2	posner	invalid_cue	incorrect	left	n/a		76
386.268152236938	1.46300768852234	posner	target_response	incorrect	left	right	left	76
393.537529230118	0.2	posner	invalid_cue	incorrect	right	n/a		77
393.737603902817	n/a	posner	target_response	incorrect	right	left	n/a	77
396.505303382874	0.2	posner	valid_cue	incorrect	right	n/a		78
396.705378293991	1.01326775550842	posner	target_response	incorrect	right	right	left	78
402.374158620834	0.2	posner	invalid_cue	correct	left	n/a		79
402.574233293533	0.685669660568237	posner	target_response	correct	left	right	right	79
408.843237400055	0.2	posner	invalid_cue	incorrect	left	n/a		80
409.043310880661	n/a	posner	target_response	incorrect	left	right	n/a	80
413.51164484024	0.2	posner	valid_cue	incorrect	right	n/a		81
413.711718797684	0.930574178695679	posner	target_response	incorrect	right	right	left	81
416.979605197906	0.2	posner	valid_cue	incorrect	left	n/a		82
417.17967915535	n/a	posner	target_response	incorrect	left	left	n/a	82
420.447565317154	0.2	posner	valid_cue	incorrect	right	n/a		83
420.647639513016	n/a	posner	target_response	incorrect	right	right	n/a	83
425.216009140015	0.2	posner	valid_cue	incorrect	right	n/a		84
425.416083812714	n/a	posner	target_response	incorrect	right	right	n/a	84
431.785126447678	0.2	posner	invalid_cue	correct	right	n/a		85
431.985199928284	0.130269050598145	posner	target_response	correct	right	left	left	85
437.053757190704	0.2	posner	valid_cue	incorrect	right	n/a		86
437.25383234024	n/a	posner	target_response	incorrect	right	right	n/a	86
440.221604824066	0.2	posner	invalid_cue	correct	left	n/a		87
440.421680212021	0.521507740020752	posner	target_response	correct	left	right	right	87
445.490237236023	0.2	posner	invalid_cue	incorrect	left	n/a		88
445.69031047821	n/a	posner	target_response	incorrect	left	right	n/a	88
452.959688425064	0.2	posner	valid_cue	incorrect	right	n/a		89
453.159764289856	1.91829562187195	posner	target_response	incorrect	right	right	left	89
456.961181402206	0.2	posner	invalid_cue	incorrect	right	n/a		90
457.161256551743	n/a	posner	target_response	incorrect	right	left	n/a	90
459.928955078125	0.2	posner	invalid_cue	incorrect	right	n/a		91
460.129030704498	n/a	posner	target_response	incorrect	right	left	n/a	91
464.39728808403	0.2	posner	invalid_cue	incorrect	left	n/a		92
464.597361803055	0.632819175720215	posner	target_response	incorrect	left	right	left	92
471.666664838791	0.2	posner	invalid_cue	incorrect	left	n/a		93
471.866739988327	n/a	posner	target_response	incorrect	left	right	n/a	93
479.136117458344	0.2	posner	invalid_cue	correct	right	n/a		94
479.336191892624	0.656584978103638	posner	target_response	correct	right	left	left	94
482.704115152359	0.2	posner	invalid_cue	correct	right	n/a		95
482.904190301895	0.581027746200562	posner	target_response	correct	right	left	left	95
487.172447919846	0.2	posner	invalid_cue	correct	right	n/a		96
487.372521877289	0.722769021987915	posner	target_response	correct	right	left	left	96
490.94052028656	0.2	posner	invalid_cue	correct	left	n/a		97
491.140594005585	0.478224992752075	posner	target_response	correct	left	right	right	97
494.608554124832	0.2	posner	valid_cue	correct	left	n/a		98
494.808628797531	1.75905013084412	posner	target_response	correct	left	left	left	98
498.943503856659	0.2	posner	valid_cue	correct	left	n/a		99
499.143579244614	0.366354703903198	posner	target_response	correct	left	left	left	99
502.311426639557	0.2	posner	invalid_cue	incorrect	left	n/a		100
502.511501073837	1.65466380119324	posner	target_response	incorrect	left	right	left	100
507.146563529968	0.2	posner	valid_cue	incorrect	left	n/a		101
507.346637964249	n/a	posner	target_response	incorrect	left	left	n/a	101
510.614523172379	0.2	posner	invalid_cue	correct	right	n/a		102
510.814598798752	0.763863086700439	posner	target_response	correct	right	left	left	102
518.083976268768	0.2	posner	valid_cue	incorrect	right	n/a		103
518.284049510956	1.27221536636353	posner	target_response	incorrect	right	right	left	103
524.553055286407	0.2	posner	invalid_cue	correct	right	n/a		104
524.753129243851	1.57115459442139	posner	target_response	correct	right	left	left	104
532.105871200562	0.2	posner	invalid_cue	incorrect	right	n/a		105
532.305946588516	n/a	posner	target_response	incorrect	right	left	n/a	105
539.375248670578	0.2	posner	valid_cue	incorrect	left	n/a		106
539.575323104858	n/a	posner	target_response	incorrect	left	left	n/a	106
543.243358612061	0.2	posner	valid_cue	incorrect	right	n/a		107
543.443433523178	n/a	posner	target_response	incorrect	right	right	n/a	107
547.71169090271	0.2	posner	invalid_cue	incorrect	left	n/a		108
547.91176533699	n/a	posner	target_response	incorrect	left	right	n/a	108
550.979576587677	0.2	posner	invalid_cue	incorrect	right	n/a		109
551.179651498795	n/a	posner	target_response	incorrect	right	left	n/a	109
555.447909832001	0.2	posner	valid_cue	correct	right	n/a		110
555.647984027863	0.80439281463623	posner	target_response	correct	right	right	right	110
559.716167211533	0.2	posner	invalid_cue	incorrect	left	n/a		111
559.91624212265	n/a	posner	target_response	incorrect	left	right	n/a	111
562.783977508545	0.2	posner	valid_cue	incorrect	left	n/a		112
562.984053134918	n/a	posner	target_response	incorrect	left	left	n/a	112
565.851788759232	0.2	posner	invalid_cue	incorrect	left	n/a		113
566.051864147186	n/a	posner	target_response	incorrect	left	right	n/a	113
568.919600248337	0.2	posner	valid_cue	incorrect	left	n/a		114
569.11967420578	n/a	posner	target_response	incorrect	left	left	n/a	114
572.887745857239	0.2	posner	valid_cue	incorrect	left	n/a		115
573.087821006775	n/a	posner	target_response	incorrect	left	left	n/a	115
577.656190872192	0.2	posner	valid_cue	incorrect	left	n/a		116
577.856266498566	n/a	posner	target_response	incorrect	left	left	n/a	116
580.724001646042	0.2	posner	valid_cue	incorrect	right	n/a		117
580.924076318741	n/a	posner	target_response	incorrect	right	right	n/a	117
586.392782449722	0.2	posner	invalid_cue	incorrect	right	n/a		118
586.592857122421	n/a	posner	target_response	incorrect	right	left	n/a	118
593.862235546112	0.2	posner	valid_cue	incorrect	right	n/a		119
594.062309980392	n/a	posner	target_response	incorrect	right	right	n/a	119
601.33168721199	0.2	posner	valid_cue	incorrect	left	n/a		120
601.531761884689	n/a	posner	target_response	incorrect	left	left	n/a	120
