onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
6.066	0.2	posner	invalid_cue	correct	right	n/a	n/a	1
6.283	0.495	posner	target_response	correct	right	left	left	1
9.368	0.2	posner	invalid_cue	correct	right	n/a	n/a	2
9.568	0.452	posner	target_response	correct	right	left	left	2
14.753	0.2	posner	invalid_cue	correct	right	n/a	n/a	3
14.953	0.654	posner	target_response	correct	right	left	left	3
18.021	0.2	posner	valid_cue	correct	left	n/a	n/a	4
18.221	0.538	posner	target_response	correct	left	left	left	4
24.09	0.2	posner	invalid_cue	correct	left	n/a	n/a	5
24.29	0.572	posner	target_response	correct	left	right	right	5
31.576	0.2	posner	invalid_cue	correct	right	n/a	n/a	6
31.776	0.571	posner	target_response	correct	right	left	left	6
35.244	0.2	posner	valid_cue	correct	left	n/a	n/a	7
35.444	0.432	posner	target_response	correct	left	left	left	7
38.612	0.2	posner	valid_cue	correct	right	n/a	n/a	8
38.812	0.508	posner	target_response	correct	right	right	right	8
44.981	0.2	posner	valid_cue	correct	left	n/a	n/a	9
45.181	0.506	posner	target_response	correct	left	left	left	9
48.149	0.2	posner	valid_cue	correct	left	n/a	n/a	10
48.349	0.512	posner	target_response	correct	left	left	left	10
57.819	0.2	posner	invalid_cue	correct	left	n/a	n/a	11
58.019	0.642	posner	target_response	correct	left	right	right	11
60.887	0.2	posner	invalid_cue	correct	left	n/a	n/a	12
61.087	0.429	posner	target_response	correct	left	right	right	12
64.155	0.2	posner	valid_cue	correct	left	n/a	n/a	13
64.355	0.565	posner	target_response	correct	left	left	left	13
67.222	0.2	posner	valid_cue	correct	right	n/a	n/a	14
67.423	0.423	posner	target_response	correct	right	right	right	14
74.892	0.2	posner	invalid_cue	correct	right	n/a	n/a	15
75.092	0.499	posner	target_response	correct	right	left	left	15
78.56	0.2	posner	invalid_cue	correct	left	n/a	n/a	16
78.76	0.487	posner	target_response	correct	left	right	right	16
81.628	0.2	posner	valid_cue	correct	left	n/a	n/a	17
81.828	0.429	posner	target_response	correct	left	left	left	17
87.097	0.2	posner	valid_cue	correct	right	n/a	n/a	18
87.297	0.405	posner	target_response	correct	right	right	right	18
96.767	0.2	posner	invalid_cue	correct	right	n/a	n/a	19
96.967	0.514	posner	target_response	correct	right	left	left	19
100.235	0.2	posner	invalid_cue	correct	left	n/a	n/a	20
100.435	0.443	posner	target_response	correct	left	right	right	20
