onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
5.024	1.323	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
6.657	1.104	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
8.075	0.972	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg
9.358	0.687	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_438.jpg
10.359	0.787	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
11.459	0.836	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
12.61	0.985	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
13.91	0.818	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
22.547	1.218	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
24.081	1.336	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
25.731	0.881	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
26.915	0.835	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
28.065	0.802	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
29.183	1.03	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
30.516	0.718	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg
31.55	1.029	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg
41.654	1.735	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
43.688	0.758	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
44.755	1.124	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg
46.189	0.774	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg
47.273	1.073	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
48.656	0.689	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
49.657	0.755	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg
50.724	0.955	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
60.628	0.735	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
61.678	0.685	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
62.678	0.802	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
63.795	0.785	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg
64.896	0.635	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
65.846	0.652	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
66.813	0.702	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
67.83	0.785	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg
78.151	1.002	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_136.jpg
79.468	1.394	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
81.169	0.943	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
82.419	0.719	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
83.453	0.969	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
84.737	0.801	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
85.854	0.759	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
86.921	0.942	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_170.jpg
100.643	0.819	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg
101.776	0.985	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg
103.077	1.135	tomspunt	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_474.jpg
104.527	1.702	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg
106.545	1.201	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_012.jpg
108.062	1.335	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg
109.713	1.085	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg
111.113	1.268	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg
118.516	0.918	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg
