onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
2.805	3.144	cue	n/a	n/a	mentalizing	remember	n/a
5.949	5.51	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-15_content-giving.mp4
11.542	3.6	rating	9.54	Weak	mentalizing	remember	n/a
13.959	1.183	rating_mouse_trajectory	9.54	Weak	mentalizing	remember	n/a
16.627	5.219	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
21.912	1.884	rating	38.1	Strong	mentalizing	remember	n/a
22.012	1.784	rating_mouse_trajectory	38.1	Strong	mentalizing	remember	n/a
27.017	5.562	video	n/a	n/a	mentalizing	remember	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
32.633	2.468	rating	10.63	Moderate	mentalizing	remember	n/a
34.133	0.968	rating_mouse_trajectory	10.63	Moderate	mentalizing	remember	n/a
37.652	3.153	cue	n/a	n/a	similarity	n/a	n/a
40.804	5.184	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-09_content-knifegame.mp4
46.071	2.201	rating	34.97	Strong	similarity	n/a	n/a
46.438	1.834	rating_mouse_trajectory	34.97	Strong	similarity	n/a	n/a
51.17	5.559	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
56.792	2.687	rating	60.71	Strong	similarity	n/a	n/a
56.859	2.62	rating_mouse_trajectory	60.71	Strong	similarity	n/a	n/a
61.868	5.395	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
67.329	1.535	rating	9.27	Weak	similarity	n/a	n/a
67.663	1.201	rating_mouse_trajectory	9.27	Weak	similarity	n/a	n/a
72.348	3.133	cue	n/a	n/a	likeability	n/a	n/a
75.481	5.304	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
80.834	1.451	rating	51.71	Strong	likeability	n/a	n/a
81.101	1.185	rating_mouse_trajectory	51.71	Strong	likeability	n/a	n/a
85.915	5.223	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
91.188	2.041	rating	32.78	Strong	likeability	n/a	n/a
92.155	1.074	rating_mouse_trajectory	32.78	Strong	likeability	n/a	n/a
96.337	6.675	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
103.076	2.053	rating	5.11	Weak	likeability	n/a	n/a
103.359	1.769	rating_mouse_trajectory	5.11	Weak	likeability	n/a	n/a
108.095	3.163	cue	n/a	n/a	similarity	n/a	n/a
111.257	5.557	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
116.881	2.551	rating	43.8	Strong	similarity	n/a	n/a
117.215	2.218	rating_mouse_trajectory	43.8	Strong	similarity	n/a	n/a
122.002	5.327	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
127.385	1.794	rating	12.75	Moderate	similarity	n/a	n/a
127.635	1.544	rating_mouse_trajectory	12.75	Moderate	similarity	n/a	n/a
132.492	4.08	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-05_content-parkour.mp4
136.639	3.624	rating	45.5	Strong	similarity	n/a	n/a
137.672	2.59	rating_mouse_trajectory	45.5	Strong	similarity	n/a	n/a
141.674	3.133	cue	n/a	n/a	mentalizing	danger	n/a
144.807	5.304	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-07_content-youth.mp4
150.177	2.869	rating	14.04	Moderate	mentalizing	danger	n/a
152.01	1.035	rating_mouse_trajectory	14.04	Moderate	mentalizing	danger	n/a
155.312	5.102	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
160.481	3.501	rating	46.37	Strong	mentalizing	danger	n/a
161.297	2.685	rating_mouse_trajectory	46.37	Strong	mentalizing	danger	n/a
165.594	6.352	video	n/a	n/a	mentalizing	danger	task-shortvideo/ses-03_run-01_order-17_content-freesolo.mp4
172.002	1.244	rating	43.22	Strong	mentalizing	danger	n/a
172.402	0.844	rating_mouse_trajectory	43.22	Strong	mentalizing	danger	n/a
177.037	3.144	cue	n/a	n/a	likeability	n/a	n/a
180.181	5.049	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-01_content-visswar.mp4
185.29	2.272	rating	24.61	Moderate	likeability	n/a	n/a
185.473	2.089	rating_mouse_trajectory	24.61	Moderate	likeability	n/a	n/a
190.39	5.556	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-11_content-menrunning.mp4
196.027	2.968	rating	54.23	Strong	likeability	n/a	n/a
196.361	2.635	rating_mouse_trajectory	54.23	Strong	likeability	n/a	n/a
201.152	5.027	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-21_content-iceblock.mp4
